,Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG,Cap,GP%,Cap%
1000,Jermaine O'Neal,IND,2003, C,6950000,24,210.82,109.769264,77,20.8,10.3,2.0,3.1,0.082,0.225,0.264,0.539,0.105,48-34,0.585,82,40271000,0.9390243902439024,0.17258076531499095
1001,Jeff Foster,IND,2003, PF,1571000,26,210.82,109.769264,77,2.1,3.6,0.7,0.9,0.157,0.237,0.133,0.394,0.101,48-34,0.585,82,40271000,0.9390243902439024,0.039010702490626006
1002,Maurice Taylor,HOU,2003, PF,7150000,26,205.74,117.93392,67,8.4,3.6,1.0,-0.1,0.086,0.124,0.237,0.472,0.091,43-39,0.524,82,40271000,0.8170731707317073,0.1775471182736957
1003,Moochie Norris,HOU,2003, PG,3600000,29,187.96,83.91452,82,4.4,1.9,2.4,-0.1,0.032,0.101,0.159,0.47,0.239,43-39,0.524,82,40271000,1.0,0.08939435325668595
1004,Kelvin Cato,HOU,2003, C,6696000,28,210.82,124.7378,73,4.5,5.9,0.3,0.1,0.122,0.272,0.134,0.535,0.027,43-39,0.524,82,40271000,0.8902439024390244,0.16627349705743588
1005,Terence Morris,HOU,2003, F,512000,24,205.74,100.243832,49,3.7,2.6,0.5,-4.3,0.074,0.157,0.154,0.5,0.068,43-39,0.524,82,40271000,0.5975609756097561,0.012713863574284225
1006,Steve Francis,HOU,2003, PG,4383000,26,190.5,88.45044,81,21.0,6.2,6.2,2.4,0.057,0.115,0.259,0.541,0.278,43-39,0.524,82,40271000,0.9878048780487805,0.10883762509001514
1007,Cuttino Mobley,HOU,2003, SG,4903000,27,193.04,95.25432,73,17.5,4.2,2.8,1.6,0.027,0.087,0.205,0.537,0.121,43-39,0.524,82,40271000,0.8902439024390244,0.12175014278264756
1008,James Posey,HOU,2003, SF,1723000,26,203.2,97.52228,83,10.8,5.1,2.2,-3.9,0.041,0.157,0.18,0.519,0.126,43-39,0.524,82,40271000,1.0121951219512195,0.04278513073924164
1009,Jason Collier,HOU,2003, C,1376000,25,213.36,117.93392,13,2.8,2.2,0.1,-5.4,0.118,0.183,0.169,0.488,0.018,43-39,0.524,82,40271000,0.15853658536585366,0.03416850835588885
1010,Eddie Griffin,HOU,2003, PF,2162000,21,208.28,105.233344,77,8.6,6.0,1.1,4.1,0.084,0.187,0.195,0.462,0.077,43-39,0.524,82,40271000,0.9390243902439024,0.05368627548359862
1011,Glen Rice,HOU,2003, SF,9200000,36,203.2,99.79024,62,9.0,2.5,1.0,-1.1,0.021,0.092,0.166,0.563,0.075,43-39,0.524,82,40271000,0.7560975609756098,0.22845223610041965
1012,Matt Harpring,UTA,2003, SF,2667000,27,200.66,104.779752,78,17.6,6.6,1.7,5.2,0.095,0.144,0.237,0.588,0.095,47-35,0.573,82,40271000,0.9512195121951219,0.06622631670432817
1013,Karl Malone,UTA,2003, PF,19250000,39,205.74,116.119552,81,20.6,7.8,4.7,3.0,0.049,0.203,0.276,0.534,0.236,47-35,0.573,82,40271000,0.9878048780487805,0.4780114722753346
1014,Mark Jackson,UTA,2003, PG,4220000,38,190.5,88.45044,82,4.7,2.1,4.6,-0.4,0.029,0.11,0.176,0.473,0.437,47-35,0.573,82,40271000,1.0,0.10479004742867075
1015,Tony Massenburg,UTA,2003, PF,1636000,35,205.74,113.398,58,4.7,2.7,0.3,-5.0,0.095,0.154,0.189,0.508,0.037,47-35,0.573,82,40271000,0.7073170731707317,0.04062476720220506
1016,Scott Padgett,UTA,2003, PF,1410000,27,205.74,108.86208,82,5.7,3.3,1.0,1.9,0.076,0.167,0.187,0.496,0.113,47-35,0.573,82,40271000,1.0,0.03501278835886867
1017,Calbert Cheaney,UTA,2003, SG,1400000,31,200.66,98.429464,81,8.6,3.5,2.0,4.9,0.04,0.106,0.158,0.514,0.113,47-35,0.573,82,40271000,0.9878048780487805,0.03476447071093343
1018,Andrei Kirilenko,UTA,2003, SF,893000,22,205.74,102.0582,80,12.0,5.3,1.7,2.1,0.083,0.145,0.194,0.598,0.11,47-35,0.573,82,40271000,0.975609756097561,0.02217476596061682
1019,John Stockton,UTA,2003, G,9000000,41,185.42,79.3786,82,10.8,2.5,7.7,5.2,0.028,0.078,0.191,0.577,0.445,47-35,0.573,82,40271000,1.0,0.22348588314171489
1020,DeShawn Stevenson,UTA,2003, SG,956000,22,195.58,95.25432,61,4.6,1.4,0.7,-9.8,0.032,0.099,0.216,0.444,0.099,47-35,0.573,82,40271000,0.7439024390243902,0.023739167142608826
1021,John Amaechi,UTA,2003, PF,2393000,32,208.28,122.46984,50,2.0,1.5,0.4,-2.6,0.066,0.132,0.169,0.351,0.073,47-35,0.573,82,40271000,0.6097560975609756,0.05942241315090264
1022,Greg Ostertag,UTA,2003, C,7799000,30,218.44,127.00576,81,5.4,6.2,0.7,8.3,0.121,0.185,0.125,0.531,0.042,47-35,0.573,82,40271000,0.9878048780487805,0.1936629336246927
1023,Michael Doleac,NYK,2003, C,2753000,26,210.82,118.841104,75,4.4,2.9,0.6,-5.3,0.076,0.173,0.187,0.451,0.068,37-45,0.451,82,40271000,0.9146341463414634,0.06836184847657123
1024,Othella Harrington,NYK,2003, PF,2700000,29,205.74,106.59412,74,7.7,6.4,0.8,-1.6,0.104,0.207,0.151,0.563,0.053,37-45,0.451,82,40271000,0.9024390243902439,0.06704576494251446
1025,Kurt Thomas,NYK,2003, PF,4904000,30,205.74,106.59412,81,14.0,7.9,2.0,-1.1,0.071,0.224,0.224,0.511,0.11,37-45,0.451,82,40271000,0.9878048780487805,0.12177497454744109
1026,Latrell Sprewell,NYK,2003, SG,12375000,32,195.58,88.45044,74,16.4,3.9,4.5,-2.8,0.018,0.101,0.227,0.497,0.196,37-45,0.451,82,40271000,0.9024390243902439,0.30729308931985794
1027,Travis Knight,NYK,2003, C,4000000,28,213.36,106.59412,32,1.9,1.9,0.4,-3.4,0.069,0.18,0.127,0.424,0.08,37-45,0.451,82,40271000,0.3902439024390244,0.0993270591740955
1028,Shandon Anderson,NYK,2003, SF,6100000,29,198.12,95.25432,82,8.4,3.1,1.1,-1.2,0.043,0.13,0.197,0.553,0.086,37-45,0.451,82,40271000,1.0,0.15147376524049563
1029,Charlie Ward,NYK,2003, PG,5750000,32,187.96,83.91452,66,7.2,2.7,4.6,1.8,0.019,0.122,0.165,0.54,0.326,37-45,0.451,82,40271000,0.8048780487804879,0.1427826475627623
1030,Allan Houston,NYK,2003, SG,11000000,32,198.12,90.7184,82,22.5,2.8,2.7,-1.6,0.01,0.079,0.269,0.563,0.129,37-45,0.451,82,40271000,1.0,0.27314941272876264
1031,Howard Eisley,NYK,2003, PG,5312000,30,187.96,81.64656,82,9.1,2.3,5.4,-2.8,0.012,0.087,0.171,0.552,0.308,37-45,0.451,82,40271000,1.0,0.13190633458319884
1032,Monty Williams,PHI,2003, SF,1400000,31,203.2,102.0582,21,4.4,2.1,1.2,8.6,0.053,0.138,0.176,0.489,0.143,48-34,0.585,82,40271000,0.25609756097560976,0.03476447071093343
1033,Kenny Thomas,PHI,2003, PF,1557000,25,200.66,111.13004,66,10.1,8.0,1.7,2.3,0.108,0.205,0.172,0.517,0.091,48-34,0.585,82,40271000,0.8048780487804879,0.038663057783516676
1034,Keith Van Horn,PHI,2003, PF,12072000,27,208.28,115.66596,74,15.9,7.1,1.3,1.9,0.079,0.188,0.232,0.556,0.068,48-34,0.585,82,40271000,0.9024390243902439,0.29976906458742025
1035,Todd MacCulloch,PHI,2003, C,4991000,27,213.36,115.66596,42,7.1,4.7,0.5,-4.4,0.094,0.185,0.172,0.548,0.04,48-34,0.585,82,40271000,0.5121951219512195,0.12393533808447767
1036,Tyrone Hill,PHI,2003, PF,6600000,35,205.74,113.398,56,5.6,7.0,0.7,-7.3,0.102,0.24,0.133,0.457,0.049,48-34,0.585,82,40271000,0.6829268292682927,0.16388964763725758
1037,Aaron McKie,PHI,2003, SG,4500000,30,195.58,94.800728,80,9.0,4.4,3.5,3.9,0.03,0.143,0.158,0.497,0.185,48-34,0.585,82,40271000,0.975609756097561,0.11174294157085744
1038,Allen Iverson,PHI,2003, SG,12375000,28,182.88,74.84268,82,27.6,4.2,5.5,1.8,0.022,0.095,0.327,0.5,0.248,48-34,0.585,82,40271000,1.0,0.30729308931985794
1039,Brian Skinner,PHI,2003, PF,2148000,27,205.74,120.20188,77,6.0,4.8,0.2,-0.9,0.115,0.204,0.151,0.574,0.024,48-34,0.585,82,40271000,0.9390243902439024,0.05333863077648929
1040,Derrick Coleman,PHI,2003, PF,9830000,36,208.28,122.46984,64,9.4,7.0,1.4,6.3,0.099,0.198,0.173,0.525,0.082,48-34,0.585,82,40271000,0.7804878048780488,0.2440962479203397
1041,Eric Snow,PHI,2003, PG,4125000,30,190.5,92.532768,82,12.9,3.7,6.6,1.0,0.026,0.089,0.168,0.546,0.278,48-34,0.585,82,40271000,1.0,0.10243102977328598
1042,Paul Pierce,BOS,2003, SF,2793000,25,198.12,104.32616,79,25.9,7.3,4.4,2.7,0.038,0.179,0.329,0.532,0.236,44-38,0.537,82,40271000,0.9634146341463414,0.06935511906831218
1043,Kedrick Brown,BOS,2003, SG,1643000,22,200.66,100.697424,51,2.8,2.7,0.4,-3.9,0.072,0.162,0.147,0.392,0.052,44-38,0.537,82,40271000,0.6219512195121951,0.040798589555759726
1044,Mark Bryant,BOS,2003, F,1100000,38,205.74,113.398,16,0.8,1.3,0.3,-9.6,0.095,0.158,0.127,0.313,0.08,44-38,0.537,82,40271000,0.1951219512195122,0.027314941272876262
1045,Mark Blount,BOS,2003, C,637000,27,213.36,113.398,81,5.0,3.8,0.7,-11.4,0.089,0.167,0.166,0.491,0.074,44-38,0.537,82,40271000,0.9878048780487805,0.01581783417347471
1046,Tony Delk,BOS,2003, PG,2700000,29,187.96,85.728888,67,9.8,3.5,2.2,-0.7,0.024,0.117,0.165,0.547,0.141,44-38,0.537,82,40271000,0.8170731707317073,0.06704576494251446
1047,Tony Battie,BOS,2003, C,4000000,27,210.82,108.86208,67,7.3,6.5,0.7,5.4,0.097,0.19,0.13,0.578,0.049,44-38,0.537,82,40271000,0.8170731707317073,0.0993270591740955
1048,Vin Baker,BOS,2003, PF,12375000,31,210.82,113.398,52,5.2,3.8,0.6,-2.2,0.108,0.138,0.154,0.531,0.053,44-38,0.537,82,40271000,0.6341463414634146,0.30729308931985794
1049,Antoine Walker,BOS,2003, PF,12375000,26,205.74,111.13004,78,20.1,7.2,4.8,1.5,0.033,0.168,0.277,0.467,0.226,44-38,0.537,82,40271000,0.9512195121951219,0.30729308931985794
1050,Bimbo Coles,BOS,2003, PG,2700000,35,187.96,82.553744,35,4.4,1.7,2.1,-8.7,0.017,0.082,0.143,0.413,0.181,44-38,0.537,82,40271000,0.4268292682926829,0.06704576494251446
1051,Eric Williams,BOS,2003, PF,5004000,30,203.2,99.79024,82,9.1,4.7,1.7,1.9,0.067,0.118,0.155,0.538,0.103,44-38,0.537,82,40271000,1.0,0.12425815102679347
1052,Pat Garrity,ORL,2003, PF,2238000,26,205.74,107.954896,81,10.7,3.8,1.5,2.2,0.031,0.107,0.151,0.551,0.073,42-40,0.512,82,40271000,0.9878048780487805,0.05557348960790644
1053,Olumide Oyedeji,ORL,2003, C,587000,22,208.28,108.86208,27,1.0,1.9,0.2,-7.9,0.076,0.308,0.104,0.485,0.062,42-40,0.512,82,40271000,0.32926829268292684,0.014576245933798516
1054,Tracy McGrady,ORL,2003, SG,12072000,24,203.2,95.25432,75,32.1,6.5,5.5,3.5,0.046,0.147,0.35,0.564,0.282,42-40,0.512,82,40271000,0.9146341463414634,0.29976906458742025
1055,Shawn Kemp,ORL,2003, C,21500000,33,208.28,127.00576,79,6.8,5.7,0.7,-2.3,0.099,0.224,0.187,0.468,0.055,42-40,0.512,82,40271000,0.9634146341463414,0.5338829430607633
1056,Chris Whitney,ORL,2003, PG,2962000,31,182.88,79.3786,51,7.0,1.3,2.8,-12.1,0.003,0.075,0.19,0.468,0.245,42-40,0.512,82,40271000,0.6219512195121951,0.07355168731841771
1057,Andrew DeClercq,ORL,2003, C,3263000,30,208.28,115.66596,77,4.7,4.4,0.7,4.5,0.122,0.179,0.137,0.562,0.061,42-40,0.512,82,40271000,0.9390243902439024,0.0810260485212684
1058,Jacque Vaughn,ORL,2003, PG,700000,28,185.42,86.18248,80,5.9,1.5,2.9,0.0,0.018,0.065,0.151,0.508,0.213,42-40,0.512,82,40271000,0.975609756097561,0.017382235355466714
1060,Jeryl Sasser,ORL,2003, G,969000,24,198.12,90.7184,75,2.6,2.5,0.9,-11.2,0.067,0.143,0.124,0.402,0.107,42-40,0.512,82,40271000,0.9146341463414634,0.024061980084924637
1061,Grant Hill,ORL,2003, SF,12072000,30,203.2,102.0582,29,14.5,7.1,4.2,4.6,0.055,0.226,0.242,0.568,0.241,42-40,0.512,82,40271000,0.35365853658536583,0.29976906458742025
1062,P.J. Brown,NOH,2003, PF,7044000,33,210.82,108.408488,78,10.7,9.0,1.9,2.4,0.107,0.209,0.139,0.592,0.09,47-35,0.573,82,40271000,0.9512195121951219,0.17491495120558218
1063,Kirk Haston,NOH,2003, F,1271000,24,205.74,109.769264,12,0.5,0.6,0.3,-23.0,0.0,0.159,0.199,0.16,0.097,47-35,0.573,82,40271000,0.14634146341463414,0.03156117305256884
1064,Kenny Anderson,NOH,2003, PG,9185000,32,185.42,76.203456,61,6.1,2.2,3.2,-2.3,0.031,0.106,0.195,0.457,0.3,47-35,0.573,82,40271000,0.7439024390243902,0.2280797596285168
1065,Robert Traylor,NOH,2003, PF,3726000,26,203.2,128.820128,69,3.9,3.8,0.7,0.3,0.138,0.216,0.17,0.486,0.096,47-35,0.573,82,40271000,0.8414634146341463,0.09252315562066996
1066,Stacey Augmon,NOH,2003, SF,2400000,34,203.2,96.615096,70,3.0,1.7,1.0,5.4,0.035,0.126,0.14,0.474,0.125,47-35,0.573,82,40271000,0.8536585365853658,0.0595962355044573
1067,Bryce Drew,NOH,2003, PG,1300000,28,190.5,83.460928,13,1.5,1.0,0.8,6.4,0.049,0.122,0.165,0.352,0.22,47-35,0.573,82,40271000,0.15853658536585366,0.03228129423158104
1068,Courtney Alexander,NOH,2003, SG,1524000,26,195.58,92.98636,66,7.9,1.8,1.2,-0.3,0.033,0.068,0.214,0.459,0.105,47-35,0.573,82,40271000,0.8048780487804879,0.037843609545330385
1069,Baron Davis,NOH,2003, PG,3942000,24,190.5,101.151016,50,17.1,3.7,6.4,4.7,0.034,0.081,0.243,0.5,0.302,47-35,0.573,82,40271000,0.6097560975609756,0.09788681681607111
1070,David Wesley,NOH,2003, SG,3600000,32,185.42,92.079176,73,16.7,2.4,3.4,2.4,0.016,0.06,0.213,0.533,0.159,47-35,0.573,82,40271000,0.8902439024390244,0.08939435325668595
1071,Jamal Mashburn,NOH,2003, SF,7750000,30,203.2,112.037224,82,21.6,6.1,5.6,2.6,0.023,0.154,0.271,0.507,0.259,47-35,0.573,82,40271000,1.0,0.19244617714981005
1072,Jamaal Magloire,NOH,2003, C,1126000,25,210.82,117.480328,82,10.3,8.8,1.1,2.4,0.123,0.223,0.174,0.541,0.058,47-35,0.573,82,40271000,1.0,0.027960567157507884
1073,Jerome Moiso,NOH,2003, C,1681000,25,208.28,105.233344,51,4.0,3.5,0.4,1.1,0.107,0.216,0.17,0.542,0.063,47-35,0.573,82,40271000,0.6219512195121951,0.04174219661791363
1074,George Lynch,NOH,2003, SF,2600000,32,203.2,106.59412,81,4.5,4.4,1.3,4.8,0.105,0.166,0.133,0.464,0.109,47-35,0.573,82,40271000,0.9878048780487805,0.06456258846316208
1075,Mark Madsen,LAL,2003, PF,817000,27,205.74,111.13004,54,3.2,2.9,0.7,0.6,0.118,0.111,0.12,0.458,0.067,50-32,0.61,82,40271000,0.6585365853658537,0.020287551836309006
1076,Kobe Bryant,LAL,2003, SF,12375000,24,200.66,97.52228,82,30.0,6.9,5.9,3.7,0.035,0.152,0.329,0.55,0.268,50-32,0.61,82,40271000,1.0,0.30729308931985794
1077,Tracy Murray,LAL,2003, SF,3740000,31,200.66,103.418976,31,2.0,0.7,0.4,-15.9,0.029,0.114,0.199,0.407,0.103,50-32,0.61,82,40271000,0.3780487804878049,0.0928708003277793
1078,Robert Horry,LAL,2003, PF,5300000,32,208.28,107.954896,80,6.5,6.4,2.9,4.4,0.088,0.163,0.123,0.488,0.148,50-32,0.61,82,40271000,0.975609756097561,0.13160835340567653
1079,Rick Fox,LAL,2003, SF,4170000,33,200.66,106.59412,76,9.0,4.3,3.3,2.8,0.032,0.131,0.157,0.523,0.171,50-32,0.61,82,40271000,0.926829268292683,0.10354845918899457
1080,Shaquille O'Neal,LAL,2003, C,23571000,31,215.9,151.95332,67,27.5,11.1,3.1,6.9,0.12,0.214,0.303,0.602,0.15,50-32,0.61,82,40271000,0.8170731707317073,0.5853095279481513
1081,Samaki Walker,LAL,2003, PF,1540000,27,205.74,115.66596,67,4.4,5.5,1.0,-2.7,0.1,0.224,0.137,0.465,0.08,50-32,0.61,82,40271000,0.8170731707317073,0.03824091778202677
1082,Brian Shaw,LAL,2003, G,1400000,37,198.12,90.7184,72,3.5,1.7,1.4,-5.4,0.024,0.128,0.158,0.467,0.189,50-32,0.61,82,40271000,0.8780487804878049,0.03476447071093343
1083,Devean George,LAL,2003, SF,1542000,25,203.2,102.0582,71,6.9,4.0,1.3,2.7,0.063,0.143,0.158,0.485,0.092,50-32,0.61,82,40271000,0.8658536585365854,0.038290581311613815
1084,Derek Fisher,LAL,2003, PG,3000000,28,185.42,92.98636,82,10.5,2.9,3.6,4.4,0.016,0.079,0.145,0.52,0.157,50-32,0.61,82,40271000,1.0,0.07449529438057163
1085,Kevin Willis,SAS,2003, C,1000000,40,213.36,111.13004,71,4.2,3.2,0.3,-6.0,0.116,0.206,0.196,0.506,0.051,60-22,0.732,82,40271000,0.8658536585365854,0.024831764793523874
1086,Tony Parker,SAS,2003, G,800000,21,187.96,81.64656,82,15.5,2.6,5.3,8.9,0.015,0.071,0.228,0.542,0.268,60-22,0.732,82,40271000,1.0,0.019865411834819102
1087,Tim Duncan,SAS,2003, C,12072000,27,213.36,117.93392,81,23.3,12.9,3.9,9.1,0.1,0.268,0.279,0.564,0.191,60-22,0.732,82,40271000,0.9878048780487805,0.29976906458742025
1088,Steve Kerr,SAS,2003, G,2625000,37,185.42,81.64656,75,4.0,0.8,0.9,1.7,0.015,0.056,0.148,0.552,0.128,60-22,0.732,82,40271000,0.9146341463414634,0.06518338258300017
1089,Stephen Jackson,SAS,2003, SF,587000,25,203.2,99.79024,80,11.8,3.6,2.3,5.2,0.036,0.11,0.22,0.526,0.136,60-22,0.732,82,40271000,0.975609756097561,0.014576245933798516
1090,Speedy Claxton,SAS,2003, PG,1081000,25,180.34,75.296272,30,5.8,1.9,2.5,1.7,0.055,0.086,0.203,0.509,0.292,60-22,0.732,82,40271000,0.36585365853658536,0.02684313774179931
1091,Danny Ferry,SAS,2003, F,1100000,36,208.28,106.59412,64,1.9,1.2,0.3,2.5,0.039,0.107,0.119,0.459,0.055,60-22,0.732,82,40271000,0.7804878048780488,0.027314941272876262
1092,David Robinson,SAS,2003, C,10500000,37,215.9,113.398,64,8.5,7.9,1.0,11.2,0.118,0.22,0.167,0.531,0.057,60-22,0.732,82,40271000,0.7804878048780488,0.2607335303320007
1093,Bruce Bowen,SAS,2003, SF,824000,32,200.66,90.7184,82,7.1,2.9,1.4,8.9,0.029,0.076,0.108,0.563,0.068,60-22,0.732,82,40271000,1.0,0.020461374189863674
1094,Kevin Garnett,MIN,2003, PF,25200000,27,210.82,99.79024,82,23.0,13.4,6.0,6.8,0.086,0.282,0.262,0.553,0.249,51-31,0.622,82,40271000,1.0,0.6257604727968017
1095,Marc Jackson,MIN,2003, PF,3575000,28,208.28,122.46984,77,5.5,2.9,0.5,2.9,0.099,0.151,0.209,0.508,0.058,51-31,0.622,82,40271000,0.9390243902439024,0.08877355913684785
1096,Wally Szczerbiak,MIN,2003, SG,2933000,26,200.66,110.676448,52,17.6,4.6,2.6,4.2,0.035,0.112,0.221,0.567,0.116,51-31,0.622,82,40271000,0.6341463414634146,0.07283156613940553
1097,Rasho Nesterovic,MIN,2003, C,2436000,27,213.36,112.490816,77,11.2,6.5,1.5,2.3,0.073,0.169,0.176,0.536,0.074,51-31,0.622,82,40271000,0.9390243902439024,0.06049017903702416
1098,Anthony Peeler,MIN,2003, SG,3220000,33,193.04,94.347136,82,7.7,2.9,3.0,1.7,0.021,0.098,0.145,0.499,0.158,51-31,0.622,82,40271000,1.0,0.07995828263514689
1099,Joe Smith,MIN,2003, PF,4991000,27,208.28,102.0582,54,7.5,5.0,0.7,3.6,0.117,0.166,0.172,0.524,0.051,51-31,0.622,82,40271000,0.6585365853658537,0.12393533808447767
1100,Kerry Kittles,NJN,2003, SG,8717000,29,195.58,81.64656,65,13.0,3.9,2.6,5.4,0.03,0.117,0.191,0.55,0.15,49-33,0.598,82,40271000,0.7926829268292683,0.21645849370514764
1101,Kenyon Martin,NJN,2003, PF,4067000,25,205.74,106.140528,77,16.7,8.3,2.4,7.3,0.073,0.208,0.247,0.511,0.126,49-33,0.598,82,40271000,0.9390243902439024,0.1009907874152616
1102,Lucious Harris,NJN,2003, SG,2640000,32,195.58,92.98636,77,10.3,3.0,2.0,2.8,0.036,0.099,0.2,0.494,0.139,49-33,0.598,82,40271000,0.9390243902439024,0.06555585905490303
1103,Richard Jefferson,NJN,2003, F,1482000,23,200.66,100.697424,80,15.5,6.4,2.5,6.4,0.06,0.143,0.197,0.563,0.119,49-33,0.598,82,40271000,0.975609756097561,0.03680067542400239
1104,Aaron Williams,NJN,2003, C,2700000,31,205.74,108.86208,81,6.2,4.1,1.1,1.0,0.099,0.136,0.165,0.504,0.092,49-33,0.598,82,40271000,0.9878048780487805,0.06704576494251446
1105,Brian Scalabrine,NJN,2003, PF,512000,25,205.74,108.86208,59,3.1,2.4,0.8,0.5,0.061,0.167,0.146,0.487,0.103,49-33,0.598,82,40271000,0.7195121951219512,0.012713863574284225
1106,Brandon Armstrong,NJN,2003, SG,930000,23,195.58,83.91452,17,1.4,0.2,0.1,-9.7,0.0,0.069,0.226,0.405,0.061,49-33,0.598,82,40271000,0.2073170731707317,0.023093541257977204
1107,Jason Collins,NJN,2003, C,1147000,24,213.36,117.93392,81,5.7,4.5,1.1,7.6,0.082,0.145,0.126,0.521,0.07,49-33,0.598,82,40271000,0.9878048780487805,0.028482034218171887
1108,Jason Kidd,NJN,2003, PG,9260000,30,193.04,96.161504,80,18.7,6.3,8.9,7.6,0.042,0.148,0.255,0.526,0.407,49-33,0.598,82,40271000,0.975609756097561,0.2299421419880311
1109,Dikembe Mutombo,NJN,2003, C,16105000,37,218.44,120.20188,24,5.8,6.4,0.8,9.7,0.121,0.205,0.163,0.445,0.055,49-33,0.598,82,40271000,0.2926829268292683,0.399915571999702
1110,Juwan Howard,DEN,2003, PF,20625000,30,205.74,117.93392,77,18.4,7.6,3.0,-11.2,0.073,0.187,0.262,0.501,0.175,17-65,0.207,82,40271000,0.9390243902439024,0.51215514886643
1111,Marcus Camby,DEN,2003, C,6750000,29,210.82,102.0582,29,7.6,7.2,1.6,-12.6,0.122,0.252,0.193,0.444,0.138,17-65,0.207,82,40271000,0.35365853658536583,0.16761441235628616
1112,Rodney White,DEN,2003, SF,1821000,23,205.74,104.32616,72,9.0,3.0,1.7,-11.3,0.03,0.127,0.24,0.469,0.156,17-65,0.207,82,40271000,0.8780487804878049,0.04521864368900698
1113,Ryan Bowen,DEN,2003, SF,587000,27,205.74,99.79024,62,3.6,2.5,0.9,-3.8,0.086,0.098,0.116,0.519,0.09,17-65,0.207,82,40271000,0.7560975609756098,0.014576245933798516
1114,Shammond Williams,DEN,2003, PG,1987000,28,185.42,91.171992,78,8.0,2.2,3.4,-3.2,0.014,0.09,0.177,0.503,0.252,17-65,0.207,82,40271000,0.9512195121951219,0.04934071664473194
1116,Donnell Harvey,DEN,2003, PF,992000,22,203.2,99.79024,77,7.9,5.3,1.3,-11.7,0.089,0.212,0.211,0.486,0.125,17-65,0.207,82,40271000,0.9390243902439024,0.024633110675175686
1117,LaPhonso Ellis,MIA,2003, F,3300000,33,203.2,108.86208,55,5.0,2.9,0.3,0.8,0.065,0.165,0.195,0.476,0.036,25-57,0.305,82,40271000,0.6707317073170732,0.08194482381862879
1118,Vladimir Stepania,MIA,2003, C,637000,27,215.9,115.66596,79,5.6,7.0,0.3,-6.3,0.145,0.254,0.164,0.454,0.03,25-57,0.305,82,40271000,0.9634146341463414,0.01581783417347471
1119,Anthony Carter,MIA,2003, PG,3656000,28,187.96,88.45044,49,4.1,1.7,4.1,-7.2,0.015,0.09,0.171,0.39,0.366,25-57,0.305,82,40271000,0.5975609756097561,0.0907849320851233
1120,Brian Grant,MIA,2003, PF,11121000,31,205.74,115.212368,82,10.3,10.2,1.3,-6.0,0.104,0.275,0.16,0.552,0.07,25-57,0.305,82,40271000,1.0,0.27615405626877904
1121,Eddie Jones,MIA,2003, SG,11200000,31,198.12,95.25432,47,18.5,4.8,3.7,-2.5,0.022,0.129,0.232,0.551,0.184,25-57,0.305,82,40271000,0.573170731707317,0.27811576568746743
1122,Marcus Fizer,CHI,2003, F,2946000,24,203.2,117.93392,38,11.7,5.7,1.3,-4.0,0.107,0.186,0.276,0.503,0.118,30-52,0.366,82,40271000,0.4634146341463415,0.07315437908172134
1123,Trenton Hassell,CHI,2003, SF,512000,24,195.58,90.7184,82,4.2,3.1,1.8,-10.2,0.02,0.117,0.112,0.411,0.118,30-52,0.366,82,40271000,1.0,0.012713863574284225
1125,Corie Blount,CHI,2003, PF,1400000,34,208.28,109.769264,50,3.0,4.1,1.0,0.1,0.095,0.187,0.104,0.502,0.087,30-52,0.366,82,40271000,0.6097560975609756,0.03476447071093343
1126,Jamal Crawford,CHI,2003, SG,2026000,23,195.58,86.18248,80,10.7,2.3,4.2,-1.9,0.012,0.09,0.221,0.496,0.28,30-52,0.366,82,40271000,0.975609756097561,0.05030915547167937
1127,Jalen Rose,CHI,2003, SG,12072000,30,203.2,98.429464,82,22.1,4.3,4.8,-6.4,0.023,0.092,0.274,0.508,0.209,30-52,0.366,82,40271000,1.0,0.29976906458742025
1128,Eddie Robinson,CHI,2003, SF,5726000,27,205.74,95.25432,64,5.7,3.1,1.0,-4.1,0.063,0.101,0.128,0.531,0.075,30-52,0.366,82,40271000,0.7804878048780488,0.1421866852077177
1129,Donyell Marshall,CHI,2003, PF,7140000,30,205.74,104.32616,78,13.4,9.0,1.8,-5.6,0.108,0.21,0.213,0.513,0.099,30-52,0.366,82,40271000,0.9512195121951219,0.17729880062576048
1130,Fred Hoiberg,CHI,2003, SG,1100000,30,195.58,95.25432,63,2.3,2.2,1.1,0.1,0.016,0.176,0.098,0.486,0.131,30-52,0.366,82,40271000,0.7682926829268293,0.027314941272876262
1131,Randy Brown,PHX,2003, G,2700000,35,187.96,86.18248,32,1.3,0.8,1.1,-1.2,0.014,0.107,0.118,0.425,0.216,44-38,0.537,82,40271000,0.3902439024390244,0.06704576494251446
1132,Tom Gugliotta,PHX,2003, PF,10890000,33,208.28,113.398,27,4.8,3.7,1.1,-8.3,0.065,0.191,0.171,0.474,0.114,44-38,0.537,82,40271000,0.32926829268292684,0.270417918601475
1133,Stephon Marbury,PHX,2003, PG,12375000,26,187.96,92.98636,81,22.3,3.2,8.1,1.5,0.018,0.074,0.274,0.52,0.357,44-38,0.537,82,40271000,0.9878048780487805,0.30729308931985794
