,Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG,Cap,GP%,Cap%
30,Keon Clark,DEN,2000, PF,1289000,25,210.82,99.79024,81,8.6,6.2,0.9,-0.8,0.095,0.199,0.172,0.573,0.063,35-47,0.427,82,34000000,0.9878048780487805,0.03791176470588235
31,Raef LaFrentz,DEN,2000, C,2777000,24,210.82,108.86208,81,12.4,7.9,1.2,-2.4,0.075,0.211,0.195,0.512,0.065,35-47,0.427,82,34000000,0.9878048780487805,0.0816764705882353
32,James Posey,DEN,2000, SF,974000,23,203.2,97.52228,81,8.2,3.9,1.8,-1.6,0.045,0.125,0.148,0.55,0.106,35-47,0.427,82,34000000,0.9878048780487805,0.02864705882352941
33,Antonio McDyess,DEN,2000, PF,9900000,25,205.74,99.79024,81,19.1,8.5,2.0,-3.6,0.095,0.183,0.271,0.539,0.108,35-47,0.427,82,34000000,0.9878048780487805,0.2911764705882353
34,P.J. Brown,MIA,2000, PF,5124000,30,210.82,108.86208,80,9.6,7.5,1.8,9.3,0.115,0.181,0.17,0.516,0.098,52-30,0.634,82,34000000,0.975609756097561,0.1507058823529412
36,Jamal Mashburn,MIA,2000, SF,5600000,27,203.2,109.315672,76,17.5,5.0,3.9,6.6,0.028,0.125,0.238,0.526,0.178,52-30,0.634,82,34000000,0.926829268292683,0.16470588235294117
37,Alonzo Mourning,MIA,2000, C,15004000,30,208.28,118.387512,79,21.7,9.5,1.6,5.8,0.096,0.212,0.282,0.596,0.086,52-30,0.634,82,34000000,0.9634146341463414,0.44129411764705884
38,Metta World Peace,CHI,2000, SF,1079000,20,198.12,110.676448,72,12.0,4.3,2.7,-8.6,0.031,0.129,0.215,0.491,0.171,17-65,0.207,82,34000000,0.8780487804878049,0.031735294117647056
39,Elton Brand,CHI,2000, PF,3375000,21,203.2,117.93392,81,20.1,10.0,1.9,-12.8,0.131,0.184,0.269,0.528,0.118,17-65,0.207,82,34000000,0.9878048780487805,0.09926470588235294
41,Pat Garrity,ORL,2000, PF,952000,23,205.74,107.954896,82,8.2,2.6,0.7,-1.7,0.033,0.129,0.205,0.532,0.063,41-41,0.5,82,34000000,1.0,0.028
42,Derek Strong,ORL,2000, F,3159000,32,205.74,108.86208,20,2.7,2.2,0.2,-8.3,0.076,0.236,0.177,0.499,0.04,41-41,0.5,82,34000000,0.24390243902439024,0.09291176470588235
43,Corey Maggette,ORL,2000, SF,1259000,20,198.12,98.883056,77,8.4,3.9,0.8,-1.6,0.101,0.144,0.224,0.553,0.071,41-41,0.5,82,34000000,0.9390243902439024,0.03702941176470588
44,Jumaine Jones,PHI,2000, SF,684000,21,203.2,98.883056,33,1.7,1.2,0.2,1.2,0.109,0.152,0.246,0.432,0.074,49-33,0.598,82,34000000,0.4024390243902439,0.02011764705882353
45,Matt Geiger,PHI,2000, C,6889000,30,215.9,112.490816,65,9.7,6.0,0.6,-2.0,0.12,0.192,0.233,0.483,0.048,49-33,0.598,82,34000000,0.7926829268292683,0.20261764705882354
46,Theo Ratliff,PHI,2000, C,7031000,27,208.28,102.0582,57,11.9,7.6,0.6,3.3,0.088,0.179,0.175,0.568,0.032,49-33,0.598,82,34000000,0.6951219512195121,0.20679411764705882
47,Tyrone Hill,PHI,2000, PF,6422000,32,205.74,113.398,68,12.0,9.2,0.8,1.5,0.111,0.213,0.183,0.529,0.039,49-33,0.598,82,34000000,0.8292682926829268,0.18888235294117647
48,Eric Snow,PHI,2000, PG,3000000,27,190.5,92.532768,82,7.9,3.2,7.6,1.0,0.016,0.086,0.129,0.482,0.327,49-33,0.598,82,34000000,1.0,0.08823529411764706
49,George Lynch,PHI,2000, SF,2000000,29,203.2,103.418976,75,9.6,7.8,1.8,2.6,0.097,0.169,0.154,0.498,0.089,49-33,0.598,82,34000000,0.9146341463414634,0.058823529411764705
50,Allen Iverson,PHI,2000, SG,9000000,25,182.88,74.84268,70,28.4,3.8,4.7,1.2,0.027,0.078,0.339,0.496,0.22,49-33,0.598,82,34000000,0.8536585365853658,0.2647058823529412
51,Juwan Howard,WAS,2000, PF,15000000,27,205.74,113.398,82,14.9,5.7,3.0,-4.3,0.052,0.137,0.222,0.496,0.143,29-53,0.354,82,34000000,1.0,0.4411764705882353
52,Tracy Murray,WAS,2000, SF,2720000,28,200.66,103.418976,80,10.1,3.4,0.9,-3.5,0.039,0.134,0.197,0.555,0.067,29-53,0.354,82,34000000,0.975609756097561,0.08
53,Richard Hamilton,WAS,2000, SG,1836000,22,198.12,83.91452,71,9.0,1.8,1.5,-3.9,0.031,0.079,0.243,0.482,0.131,29-53,0.354,82,34000000,0.8658536585365854,0.054
54,Karl Malone,UTA,2000, PF,14000000,36,205.74,116.119552,82,25.5,9.5,3.7,7.8,0.074,0.251,0.318,0.582,0.197,55-27,0.671,82,34000000,1.0,0.4117647058823529
55,Quincy Lewis,UTA,2000, SG,930000,23,200.66,97.52228,74,3.8,1.5,0.5,-5.7,0.059,0.087,0.187,0.441,0.08,55-27,0.671,82,34000000,0.9024390243902439,0.027352941176470587
56,Scott Padgett,UTA,2000, PF,679000,24,205.74,108.86208,47,2.6,1.9,0.5,-3.8,0.068,0.169,0.184,0.395,0.092,55-27,0.671,82,34000000,0.573170731707317,0.01997058823529412
57,Greg Ostertag,UTA,2000, C,5200000,27,218.44,127.00576,81,4.5,6.0,0.2,4.6,0.137,0.22,0.125,0.525,0.018,55-27,0.671,82,34000000,0.9878048780487805,0.15294117647058825
58,Bryon Russell,UTA,2000, SF,4000000,29,200.66,102.0582,82,14.1,5.2,1.9,8.9,0.043,0.136,0.184,0.55,0.087,55-27,0.671,82,34000000,1.0,0.11764705882352941
59,Jonathan Bender,IND,2000, SF,2214000,19,210.82,91.625584,24,2.7,0.9,0.1,-0.3,0.033,0.126,0.277,0.397,0.036,56-26,0.683,82,34000000,0.2926829268292683,0.06511764705882353
60,Travis Best,IND,2000, PG,3250000,27,180.34,82.553744,82,8.9,1.7,3.3,8.6,0.011,0.084,0.207,0.569,0.285,56-26,0.683,82,34000000,1.0,0.09558823529411764
61,Derrick McKey,IND,2000, F,4800000,33,208.28,109.315672,32,4.3,4.2,1.1,6.0,0.058,0.178,0.115,0.524,0.09,56-26,0.683,82,34000000,0.3902439024390244,0.1411764705882353
62,Dale Davis,IND,2000, PF,4490000,31,210.82,104.32616,74,10.0,9.9,0.9,4.7,0.138,0.235,0.166,0.537,0.046,56-26,0.683,82,34000000,0.9024390243902439,0.13205882352941176
63,Jeff Foster,IND,2000, PF,857000,23,210.82,107.954896,19,2.3,1.7,0.3,-6.3,0.15,0.247,0.167,0.632,0.088,56-26,0.683,82,34000000,0.23170731707317074,0.025205882352941175
64,Al Harrington,IND,2000, PF,745000,20,205.74,115.212368,50,6.6,3.2,0.8,6.0,0.066,0.151,0.201,0.524,0.073,56-26,0.683,82,34000000,0.6097560975609756,0.021911764705882353
65,Kenny Anderson,BOS,2000, PG,6680000,29,185.42,76.203456,82,14.0,2.7,5.1,1.4,0.023,0.079,0.204,0.524,0.253,35-47,0.427,82,34000000,1.0,0.19647058823529412
66,Walter McCarty,BOS,2000, PF,2500000,26,208.28,104.32616,61,3.8,1.8,1.1,-4.6,0.042,0.103,0.161,0.451,0.122,35-47,0.427,82,34000000,0.7439024390243902,0.07352941176470588
67,Vitaly Potapenko,BOS,2000, C,3810000,25,208.28,127.00576,79,9.2,6.3,1.0,-0.4,0.109,0.207,0.202,0.527,0.068,35-47,0.427,82,34000000,0.9634146341463414,0.11205882352941177
68,Paul Pierce,BOS,2000, SF,1503000,22,200.66,99.79024,73,19.5,5.4,3.0,3.5,0.035,0.142,0.247,0.55,0.142,35-47,0.427,82,34000000,0.8902439024390244,0.04420588235294118
69,Eric Williams,BOS,2000, PF,3336000,27,203.2,99.79024,68,7.2,2.3,1.4,-2.9,0.044,0.089,0.166,0.531,0.105,35-47,0.427,82,34000000,0.8292682926829268,0.09811764705882353
70,Antoine Walker,BOS,2000, PF,9000000,23,205.74,111.13004,82,20.5,8.0,3.7,-0.2,0.071,0.18,0.283,0.494,0.178,35-47,0.427,82,34000000,1.0,0.2647058823529412
71,Calbert Cheaney,BOS,2000, SG,2000000,28,200.66,97.52228,67,4.0,2.1,1.2,-3.7,0.019,0.109,0.112,0.473,0.093,35-47,0.427,82,34000000,0.8170731707317073,0.058823529411764705
72,Kenny Thomas,HOU,2000, PF,823000,22,203.2,117.93392,72,8.3,6.1,1.6,0.9,0.094,0.178,0.18,0.477,0.099,34-48,0.415,82,34000000,0.8780487804878049,0.024205882352941178
73,Steve Francis,HOU,2000, PG,3020000,23,190.5,87.543256,77,18.0,5.3,6.6,-3.7,0.062,0.102,0.249,0.543,0.315,34-48,0.415,82,34000000,0.9390243902439024,0.0888235294117647
74,Walt Williams,HOU,2000, F,3750000,30,203.2,104.32616,76,10.9,4.0,2.1,1.6,0.042,0.141,0.201,0.562,0.138,34-48,0.415,82,34000000,0.926829268292683,0.11029411764705882
75,Shandon Anderson,HOU,2000, SF,2000000,26,198.12,95.25432,82,12.3,4.7,2.9,-2.3,0.039,0.119,0.176,0.567,0.139,34-48,0.415,82,34000000,1.0,0.058823529411764705
76,Kerry Kittles,NJN,2000, SG,7166000,26,195.58,81.64656,62,13.0,3.6,2.3,1.0,0.027,0.107,0.19,0.535,0.122,31-51,0.378,82,34000000,0.7560975609756098,0.21076470588235294
77,Jim McIlvaine,NJN,2000, C,4800000,27,215.9,119.748288,66,2.4,3.5,0.5,-0.5,0.109,0.131,0.092,0.439,0.048,31-51,0.378,82,34000000,0.8048780487804879,0.1411764705882353
78,Lucious Harris,NJN,2000, SG,1920000,29,195.58,92.98636,77,6.7,2.4,1.3,-0.3,0.038,0.103,0.164,0.506,0.11,31-51,0.378,82,34000000,0.9390243902439024,0.05647058823529412
79,Stephon Marbury,NJN,2000, PG,9000000,23,187.96,81.64656,74,22.2,3.2,8.4,0.0,0.022,0.071,0.277,0.528,0.38,31-51,0.378,82,34000000,0.9024390243902439,0.2647058823529412
80,Jamie Feick,NJN,2000, F,2000000,25,203.2,115.66596,81,5.7,9.3,0.8,-1.1,0.126,0.256,0.107,0.477,0.046,31-51,0.378,82,34000000,0.9878048780487805,0.058823529411764705
81,Kevin Garnett,MIN,2000, PF,16806000,24,210.82,99.79024,81,22.9,11.8,5.0,5.7,0.08,0.267,0.276,0.545,0.211,50-32,0.61,82,34000000,0.9878048780487805,0.49429411764705883
82,Terrell Brandon,MIN,2000, PG,7400000,30,180.34,78.471416,71,17.1,3.4,8.9,6.9,0.02,0.088,0.229,0.535,0.375,50-32,0.61,82,34000000,0.8658536585365854,0.21764705882352942
83,Wally Szczerbiak,MIN,2000, SG,2011000,23,200.66,110.222856,73,11.6,3.7,2.8,5.0,0.048,0.1,0.171,0.571,0.136,50-32,0.61,82,34000000,0.8902439024390244,0.059147058823529414
84,Rasho Nesterovic,MIN,2000, C,1050000,24,213.36,112.490816,82,5.7,4.6,1.1,5.0,0.089,0.164,0.145,0.492,0.075,50-32,0.61,82,34000000,1.0,0.030882352941176472
85,Dean Garrett,MIN,2000, C,2520000,33,210.82,113.398,56,2.0,2.5,0.3,3.1,0.077,0.183,0.105,0.477,0.043,50-32,0.61,82,34000000,0.6829268292682927,0.07411764705882352
86,Anthony Peeler,MIN,2000, SG,2495000,30,193.04,94.347136,82,9.8,2.8,2.4,-1.4,0.032,0.099,0.186,0.52,0.152,50-32,0.61,82,34000000,1.0,0.07338235294117647
87,John Wallace,NYK,2000, SF,2000000,26,205.74,102.0582,60,6.5,2.3,0.4,-6.0,0.064,0.137,0.26,0.52,0.055,50-32,0.61,82,34000000,0.7317073170731707,0.058823529411764705
88,Marcus Camby,NYK,2000, C,5250000,26,210.82,102.0582,59,10.2,7.8,0.8,4.8,0.136,0.209,0.193,0.529,0.053,50-32,0.61,82,34000000,0.7195121951219512,0.15441176470588236
89,Larry Johnson,NYK,2000, F,11910000,31,200.66,106.59412,70,10.7,5.4,2.5,2.0,0.046,0.151,0.173,0.517,0.127,50-32,0.61,82,34000000,0.8536585365853658,0.3502941176470588
90,Charlie Ward,NYK,2000, PG,4540000,29,187.96,86.18248,72,7.3,3.2,4.2,4.4,0.014,0.117,0.135,0.559,0.224,50-32,0.61,82,34000000,0.8780487804878049,0.13352941176470587
91,Chris Childs,NYK,2000, G,4160000,32,190.5,88.45044,71,5.3,2.1,4.0,-0.8,0.012,0.092,0.14,0.491,0.284,50-32,0.61,82,34000000,0.8658536585365854,0.1223529411764706
92,Chris Dudley,NYK,2000, C,7100000,35,210.82,117.93392,47,1.2,2.9,0.1,-9.1,0.161,0.19,0.096,0.349,0.017,50-32,0.61,82,34000000,0.573170731707317,0.2088235294117647
93,Malik Rose,SAS,2000, PF,2285000,25,200.66,115.66596,74,6.7,4.5,0.6,4.1,0.115,0.162,0.194,0.525,0.061,53-29,0.646,82,34000000,0.9024390243902439,0.06720588235294117
94,Terry Porter,SAS,2000, G,2000000,37,190.5,92.98636,68,9.4,2.8,3.3,13.0,0.018,0.111,0.183,0.596,0.227,53-29,0.646,82,34000000,0.8292682926829268,0.058823529411764705
95,Steve Kerr,SAS,2000, G,1968000,34,190.5,81.64656,32,2.8,0.6,0.4,0.8,0.012,0.062,0.144,0.564,0.078,53-29,0.646,82,34000000,0.3902439024390244,0.05788235294117647
96,Luc Longley,PHX,2000, C,5175000,31,218.44,117.93392,72,6.3,4.5,1.1,0.5,0.078,0.171,0.182,0.512,0.086,53-29,0.646,82,34000000,0.8780487804878049,0.15220588235294116
97,Tom Gugliotta,PHX,2000, PF,8558000,30,208.28,108.86208,54,13.7,7.9,2.3,7.3,0.092,0.18,0.205,0.519,0.113,53-29,0.646,82,34000000,0.6585365853658537,0.25170588235294117
98,Shawn Marion,PHX,2000, SG,1546000,22,200.66,97.52228,51,10.2,6.5,1.4,5.5,0.094,0.195,0.194,0.511,0.089,53-29,0.646,82,34000000,0.6219512195121951,0.04547058823529412
99,Rodney Rogers,PHX,2000, SF,2000000,29,200.66,115.66596,82,13.8,5.5,2.1,9.6,0.07,0.146,0.222,0.57,0.128,53-29,0.646,82,34000000,1.0,0.058823529411764705
100,Clifford Robinson,PHX,2000, PF,6125000,33,208.28,102.0582,80,18.5,4.5,2.8,4.6,0.042,0.096,0.229,0.564,0.134,53-29,0.646,82,34000000,0.975609756097561,0.1801470588235294
101,Jason Kidd,PHX,2000, PG,6858000,27,193.04,96.161504,67,14.3,7.2,10.1,5.8,0.041,0.164,0.199,0.498,0.395,53-29,0.646,82,34000000,0.8170731707317073,0.20170588235294118
102,Anfernee Hardaway,PHX,2000, SF,9000000,28,200.66,97.52228,60,16.9,5.8,5.3,8.8,0.047,0.121,0.212,0.549,0.23,53-29,0.646,82,34000000,0.7317073170731707,0.2647058823529412
103,Lamond Murray,CLE,2000, SF,3000000,27,200.66,107.047712,74,15.9,5.7,1.8,-3.7,0.058,0.139,0.242,0.517,0.101,32-50,0.39,82,34000000,0.9024390243902439,0.08823529411764706
104,Wesley Person,CLE,2000, SF,4900000,29,198.12,88.45044,79,9.2,3.4,1.8,-2.1,0.023,0.124,0.158,0.528,0.114,32-50,0.39,82,34000000,0.9634146341463414,0.14411764705882352
106,Shawn Kemp,CLE,2000, C,10780000,30,208.28,127.00576,82,17.8,8.8,1.7,-2.3,0.101,0.224,0.298,0.508,0.098,32-50,0.39,82,34000000,1.0,0.3170588235294118
107,Andre Miller,CLE,2000, PG,1682000,24,187.96,92.079176,82,11.1,3.4,5.8,-1.6,0.046,0.105,0.222,0.517,0.386,32-50,0.39,82,34000000,1.0,0.04947058823529412
108,Bob Sura,CLE,2000, PG,3760000,27,195.58,90.7184,73,13.8,3.9,3.9,-3.6,0.025,0.12,0.208,0.545,0.215,32-50,0.39,82,34000000,0.8902439024390244,0.11058823529411765
109,Lawrence Funderburke,SAC,2000, PF,2400000,29,205.74,104.32616,75,6.4,3.1,0.4,3.5,0.1,0.144,0.192,0.569,0.053,44-38,0.537,82,34000000,0.9146341463414634,0.07058823529411765
110,Vlade Divac,SAC,2000, C,8837000,32,215.9,117.93392,82,12.3,8.0,3.0,2.5,0.075,0.205,0.19,0.552,0.148,44-38,0.537,82,34000000,1.0,0.25991176470588234
111,Jason Williams,SAC,2000, PG,1879000,24,185.42,86.18248,81,12.3,2.8,7.3,0.4,0.008,0.077,0.199,0.477,0.297,44-38,0.537,82,34000000,0.9878048780487805,0.05526470588235294
112,Lorenzen Wright,ATL,2000, PF,4400000,24,210.82,108.86208,75,6.0,4.1,0.3,-9.0,0.103,0.173,0.175,0.533,0.029,28-54,0.341,82,34000000,0.9146341463414634,0.12941176470588237
113,Roshown McLeod,ATL,2000, F,914000,24,203.2,100.243832,44,7.2,3.1,1.2,-8.5,0.052,0.12,0.214,0.438,0.102,28-54,0.341,82,34000000,0.5365853658536586,0.026882352941176472
114,Dion Glover,ATL,2000, SG,893000,21,195.58,103.418976,30,6.5,1.3,0.9,-13.9,0.037,0.059,0.224,0.483,0.108,28-54,0.341,82,34000000,0.36585365853658536,0.02626470588235294
115,Jason Terry,ATL,2000, G,1468000,22,187.96,78.017824,81,8.1,2.0,4.3,-7.0,0.014,0.083,0.191,0.497,0.3,28-54,0.341,82,34000000,0.9878048780487805,0.043176470588235295
116,Alan Henderson,ATL,2000, PF,5318000,27,205.74,106.59412,82,13.2,7.0,0.9,-6.7,0.104,0.123,0.194,0.503,0.045,28-54,0.341,82,34000000,1.0,0.15641176470588236
117,Chris Crawford,ATL,2000, SF,2000000,25,205.74,106.59412,55,4.6,1.8,0.6,-4.6,0.083,0.079,0.2,0.476,0.084,28-54,0.341,82,34000000,0.6707317073170732,0.058823529411764705
118,Cal Bowdler,ATL,2000, F,1025000,23,208.28,111.13004,46,2.7,1.8,0.3,-13.0,0.055,0.169,0.156,0.463,0.056,28-54,0.341,82,34000000,0.5609756097560976,0.030147058823529412
119,Kobe Bryant,LAL,2000, SF,9000000,21,200.66,95.25432,66,22.5,6.3,4.9,10.4,0.046,0.128,0.266,0.546,0.215,67-15,0.817,82,34000000,0.8048780487804879,0.2647058823529412
120,Travis Knight,LAL,2000, C,2800000,25,213.36,106.59412,63,1.7,2.0,0.4,3.7,0.124,0.22,0.167,0.418,0.092,67-15,0.817,82,34000000,0.7682926829268293,0.08235294117647059
121,Robert Horry,LAL,2000, PF,4800000,29,208.28,106.59412,76,5.7,4.8,1.6,12.3,0.088,0.143,0.126,0.528,0.103,67-15,0.817,82,34000000,0.926829268292683,0.1411764705882353
122,Rick Fox,LAL,2000, SF,3033000,30,200.66,109.769264,82,6.5,2.4,1.7,8.3,0.046,0.098,0.183,0.502,0.144,67-15,0.817,82,34000000,1.0,0.08920588235294118
123,Shaquille O'Neal,LAL,2000, C,17142000,28,215.9,142.88148,79,29.7,13.6,3.8,11.0,0.116,0.246,0.313,0.578,0.184,67-15,0.817,82,34000000,0.9634146341463414,0.5041764705882353
124,Derek Fisher,LAL,2000, PG,3000000,25,185.42,90.7184,78,6.3,1.8,2.8,13.4,0.013,0.07,0.153,0.449,0.176,67-15,0.817,82,34000000,0.9512195121951219,0.08823529411764706
125,Devean George,LAL,2000, SF,790000,22,203.2,99.79024,49,3.2,1.5,0.2,4.1,0.088,0.135,0.227,0.478,0.061,67-15,0.817,82,34000000,0.5975609756097561,0.02323529411764706
126,Steve Nash,DAL,2000, PG,5500000,26,190.5,88.45044,56,8.6,2.2,4.9,3.9,0.025,0.062,0.148,0.601,0.252,40-42,0.488,82,34000000,0.6829268292682927,0.16176470588235295
127,Sean Rooks,DAL,2000, C,1920000,30,208.28,122.46984,71,4.4,3.5,1.0,-3.0,0.088,0.179,0.172,0.48,0.099,40-42,0.488,82,34000000,0.8658536585365854,0.05647058823529412
128,Dirk Nowitzki,DAL,2000, F,1583000,22,213.36,107.501304,82,17.5,6.5,2.5,0.5,0.038,0.156,0.212,0.564,0.107,40-42,0.488,82,34000000,1.0,0.046558823529411764
129,Vinny Del Negro,MIL,2000, G,1925000,33,193.04,90.7184,67,5.2,1.6,2.4,-6.8,0.009,0.096,0.146,0.51,0.206,42-40,0.512,82,34000000,0.8170731707317073,0.05661764705882353
130,Ray Allen,MIL,2000, SG,9000000,24,195.58,92.98636,82,22.1,4.4,3.8,1.7,0.032,0.104,0.254,0.57,0.166,42-40,0.512,82,34000000,1.0,0.2647058823529412
131,Rafer Alston,MIL,2000, PG,301000,23,187.96,77.564232,27,2.2,0.9,2.6,-14.5,0.016,0.065,0.159,0.31,0.321,42-40,0.512,82,34000000,0.32926829268292684,0.008852941176470588
132,Robert Traylor,MIL,2000, PF,2059000,23,203.2,128.820128,44,3.6,2.6,0.5,-5.2,0.129,0.179,0.173,0.517,0.063,42-40,0.512,82,34000000,0.5365853658536586,0.06055882352941176
133,Scott Williams,MIL,2000, C,3750000,32,208.28,104.32616,68,7.6,6.6,0.4,0.0,0.138,0.218,0.163,0.539,0.028,42-40,0.512,82,34000000,0.8292682926829268,0.11029411764705882
134,Sam Cassell,MIL,2000, PG,3500000,30,190.5,83.91452,81,18.6,3.7,9.0,2.4,0.028,0.091,0.247,0.551,0.399,42-40,0.512,82,34000000,0.9878048780487805,0.10294117647058823
135,Ervin Johnson,MIL,2000, C,2951000,32,210.82,111.13004,80,4.8,8.1,0.6,3.1,0.128,0.22,0.089,0.55,0.028,42-40,0.512,82,34000000,0.975609756097561,0.08679411764705883
