Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG
Sergio Rodriguez,POR,2007, PG,760000,21,190.5,76.203456,67,3.7,1.4,3.3,-8.5,0.027,0.104,0.175,0.493,0.416,32-50,0.39,82
Ime Udoka,POR,2007, F,744551,29,195.58,99.79024,75,8.4,3.7,1.5,-3.6,0.054,0.111,0.137,0.569,0.085,32-50,0.39,82
Fred Jones,POR,2007, SG,3100000,28,187.96,99.79024,63,6.5,1.8,1.7,-8.2,0.02,0.084,0.168,0.501,0.134,32-50,0.39,82
Zach Randolph,POR,2007, F,12000000,25,205.74,97.52228,68,23.6,10.1,2.2,-4.9,0.101,0.257,0.33,0.537,0.126,32-50,0.39,82
LaMarcus Aldridge,POR,2007, PF,4027320,21,210.82,111.13004,63,9,5,0.4,-2.7,0.125,0.157,0.191,0.533,0.03,32-50,0.39,82
Jarrett Jack,POR,2007, G,1137960,23,190.5,89.357624,79,12,2.6,5.3,-7,0.008,0.09,0.181,0.571,0.265,32-50,0.39,82
Jamaal Magloire,POR,2007, C,8433334,29,210.82,120.20188,81,6.5,6.1,0.4,-7.8,0.111,0.257,0.177,0.527,0.03,32-50,0.39,82
Joel Przybilla,POR,2007, C,5215000,27,215.9,115.66596,43,2,3.9,0.3,-2.9,0.103,0.191,0.089,0.467,0.027,32-50,0.39,82
Austin Croshere,DAL,2007, PF,7300000,32,208.28,106.59412,61,3.7,3,0.7,0.8,0.053,0.231,0.176,0.463,0.104,67-15,0.817,82
DeSagana Diop,DAL,2007, C,1998000,25,213.36,127.00576,81,2.3,5.4,0.4,5,0.133,0.217,0.08,0.503,0.03,67-15,0.817,82
Pops Mensah-Bonsu,DAL,2007, PF,412718,23,205.74,108.86208,12,2.4,1.8,0,7,0.136,0.19,0.214,0.582,0,67-15,0.817,82
Maurice Ager,DAL,2007, SF,906480,23,195.58,91.625584,32,2.2,0.7,0.2,-14.2,0.005,0.107,0.214,0.408,0.065,67-15,0.817,82
Erick Dampier,DAL,2007, C,9628000,31,210.82,120.20188,76,7.1,7.4,0.6,11.5,0.144,0.212,0.129,0.642,0.034,67-15,0.817,82
Greg Buckner,DAL,2007, SG,3240741,30,193.04,95.25432,76,4,2.1,0.9,2.2,0.032,0.105,0.12,0.486,0.082,67-15,0.817,82
Dirk Nowitzki,DAL,2007, F,15101622,29,213.36,111.13004,78,24.6,8.9,3.4,11.1,0.054,0.238,0.289,0.605,0.169,67-15,0.817,82
Devin Harris,DAL,2007, G,3153120,24,190.5,83.91452,80,10.2,2.5,3.7,14.1,0.028,0.083,0.192,0.574,0.22,67-15,0.817,82
Devean George,DAL,2007, SF,1974259,29,203.2,106.59412,60,6.4,3.6,0.6,3.8,0.053,0.148,0.161,0.487,0.043,67-15,0.817,82
J.J. Barea,DAL,2007, PG,412718,23,182.88,79.3786,33,2.4,0.8,0.7,-5.7,0.041,0.115,0.25,0.44,0.24,67-15,0.817,82
Josh Howard,DAL,2007, SF,1667603,27,200.66,95.25432,70,18.9,6.8,1.8,9.7,0.065,0.169,0.251,0.548,0.088,67-15,0.817,82
Jerry Stackhouse,DAL,2007, SF,9296874,32,198.12,98.883056,67,12,2.2,2.8,7.3,0.029,0.079,0.244,0.537,0.195,67-15,0.817,82
Jason Terry,DAL,2007, G,8100000,29,187.96,81.64656,81,16.7,2.9,5.2,10.4,0.018,0.079,0.214,0.587,0.244,67-15,0.817,82
Damon Jones,CLE,2007, PG,3884678,30,190.5,86.18248,60,6.6,1.1,1.6,2.3,0.009,0.059,0.154,0.525,0.128,50-32,0.61,82
David Wesley,CLE,2007, SG,1750000,36,185.42,92.079176,35,2.1,1,1.1,0.8,0.011,0.101,0.139,0.418,0.172,50-32,0.61,82
Daniel Gibson,CLE,2007, SG,412718,21,187.96,86.18248,60,4.6,1.5,1.2,3.8,0.032,0.077,0.135,0.556,0.11,50-32,0.61,82
Shannon Brown,CLE,2007, PG,971280,21,193.04,92.98636,23,3.2,0.9,0.4,-14,0.034,0.09,0.218,0.455,0.091,50-32,0.61,82
Scot Pollard,CLE,2007, C,2200000,32,210.82,120.20188,24,1,1.3,0.1,-1.5,0.165,0.186,0.138,0.432,0.053,50-32,0.61,82
Sasha Pavlovic,CLE,2007, SG,1962206,23,200.66,95.25432,67,9,2.4,1.6,6.4,0.018,0.104,0.19,0.554,0.11,50-32,0.61,82
Eric Snow,CLE,2007, PG,6093750,34,190.5,92.98636,82,4.2,2.3,4,1.2,0.021,0.094,0.115,0.458,0.259,50-32,0.61,82
Drew Gooden,CLE,2007, PF,6645402,25,208.28,113.398,80,11.1,8.5,1.1,0.6,0.134,0.225,0.203,0.508,0.067,50-32,0.61,82
Ira Newble,CLE,2007, SF,3196050,32,200.66,99.79024,15,3.1,2,0.1,3.7,0.115,0.145,0.159,0.556,0.026,50-32,0.61,82
Donyell Marshall,CLE,2007, PF,5633037,34,205.74,104.32616,81,7,4,0.6,3,0.072,0.201,0.193,0.536,0.058,50-32,0.61,82
Zydrunas Ilgauskas,CLE,2007, C,9442697,32,220.98,117.93392,78,11.9,7.7,1.6,4.6,0.128,0.204,0.218,0.527,0.099,50-32,0.61,82
Anderson Varejao,CLE,2007, C,945600,24,208.28,108.86208,81,6.8,6.7,0.9,6.8,0.113,0.218,0.137,0.527,0.06,50-32,0.61,82
LeBron James,CLE,2007, SF,5828089,22,203.2,108.86208,78,27.3,6.7,6,5.4,0.029,0.166,0.309,0.552,0.281,50-32,0.61,82
Larry Hughes,CLE,2007, SG,13363012,28,195.58,83.460928,70,14.9,3.8,3.7,4.3,0.018,0.104,0.216,0.48,0.162,50-32,0.61,82
Damien Wilkins,SEA,2007, SG,2700000,27,198.12,102.0582,82,8.8,2.8,1.9,-6.5,0.051,0.086,0.176,0.535,0.121,31-51,0.378,82
Chris Wilcox,SEA,2007, PF,6250000,24,208.28,106.59412,82,13.5,7.7,1,-1.3,0.082,0.211,0.193,0.568,0.05,31-51,0.378,82
Danny Fortson,SEA,2007, C,6596990,31,203.2,117.93392,14,2.9,3.1,0.1,0.5,0.104,0.256,0.152,0.56,0.01,31-51,0.378,82
Andre Brown,SEA,2007, PF,406340,26,205.74,111.13004,38,2.4,1.9,0.1,-2.5,0.119,0.201,0.183,0.577,0.014,31-51,0.378,82
Nick Collison,SEA,2007, F,2501070,26,208.28,115.66596,82,9.6,8.1,1,-2.8,0.113,0.218,0.162,0.546,0.055,31-51,0.378,82
Mouhamed Sene,SEA,2007, C,1958640,21,210.82,104.32616,28,1.9,1.6,0,-16.5,0.096,0.215,0.19,0.429,0,31-51,0.378,82
Mike Wilks,SEA,2007, PG,744551,28,177.8,81.64656,47,3.6,1.1,1.7,-0.2,0.036,0.089,0.166,0.533,0.238,31-51,0.378,82
Mickael Gelabale,SEA,2007, SF,802000,24,200.66,97.52228,70,4.6,2.5,0.8,-2.8,0.056,0.11,0.128,0.535,0.07,31-51,0.378,82
Luke Ridnour,SEA,2007, PG,2425878,26,185.42,75.749864,71,11,2.3,5.2,-3.9,0.016,0.078,0.198,0.509,0.276,31-51,0.378,82
Rashard Lewis,SEA,2007, PF,9350649,27,208.28,104.32616,60,22.4,6.6,2.4,-0.9,0.046,0.158,0.245,0.587,0.108,31-51,0.378,82
Ray Allen,SEA,2007, SG,14611570,31,195.58,92.98636,55,26.4,4.5,4.1,-1.9,0.03,0.103,0.293,0.564,0.183,31-51,0.378,82
Earl Watson,SEA,2007, PG,5400000,28,185.42,88.45044,77,9.4,2.4,5.7,-3.8,0.019,0.085,0.193,0.483,0.318,31-51,0.378,82
Johan Petro,SEA,2007, C,1006800,21,213.36,112.037224,81,6.2,4.1,0.6,-7.8,0.074,0.2,0.169,0.532,0.05,31-51,0.378,82
Dale Davis,DET,2007, PF,3500000,38,210.82,114.305184,46,1.8,3,0.3,5,0.141,0.184,0.1,0.486,0.041,53-29,0.646,82
Chris Webber,DET,2007, C,407313,34,208.28,111.13004,61,11.2,7.2,3.1,2.3,0.082,0.218,0.215,0.482,0.17,53-29,0.646,82
Antonio McDyess,DET,2007, PF,5883600,32,205.74,111.13004,82,8.1,6,0.9,8.7,0.114,0.229,0.184,0.552,0.072,53-29,0.646,82
Chauncey Billups,DET,2007, PG,6364400,30,190.5,91.625584,70,17,3.4,7.2,8.4,0.011,0.101,0.217,0.591,0.321,53-29,0.646,82
Carlos Delfino,DET,2007, SG,1037280,24,198.12,104.32616,82,5.2,3.2,1.1,3.4,0.057,0.165,0.162,0.515,0.108,53-29,0.646,82
Nazr Mohammed,DET,2007, C,5215000,29,208.28,113.398,51,5.6,4.5,0.2,0.1,0.134,0.207,0.184,0.554,0.02,53-29,0.646,82
Tayshaun Prince,DET,2007, SF,7851240,27,205.74,97.52228,82,14.3,5.2,2.8,6.1,0.057,0.114,0.19,0.534,0.127,53-29,0.646,82
Rasheed Wallace,DET,2007, PF,11650000,32,210.82,104.32616,75,12.3,7.2,1.7,5.1,0.044,0.227,0.2,0.513,0.089,53-29,0.646,82
Ronald Dupree,DET,2007, SF,771331,26,200.66,94.800728,19,1.3,0.9,0.3,2,0.065,0.167,0.181,0.358,0.083,53-29,0.646,82
Richard Hamilton,DET,2007, SG,9187500,29,200.66,87.543256,75,19.8,3.8,3.8,7.2,0.032,0.091,0.26,0.551,0.184,53-29,0.646,82
Lindsey Hunter,DET,2007, SG,2250000,36,187.96,88.45044,52,4.9,0.9,1.8,-2.8,0.014,0.061,0.187,0.495,0.225,53-29,0.646,82
Amir Johnson,DET,2007, F,664209,20,205.74,95.25432,8,5.9,4.6,0.4,-0.3,0.152,0.167,0.176,0.6,0.039,53-29,0.646,82
Will Blalock,DET,2007, SG,412718,23,182.88,92.98636,14,1.8,1.1,1.2,-6.7,0.038,0.066,0.12,0.383,0.193,53-29,0.646,82
Jason Maxiell,DET,2007, PF,973440,24,200.66,117.93392,67,5,2.8,0.2,4.6,0.111,0.114,0.186,0.518,0.025,53-29,0.646,82
Dahntay Jones,MEM,2007, SG,1886113,26,198.12,95.25432,78,7.5,2,0.9,-3.6,0.035,0.079,0.174,0.542,0.066,22-60,0.268,82
Damon Stoudamire,MEM,2007, PG,4050000,33,177.8,78.925008,62,7.5,2.2,4.8,-7.6,0.024,0.089,0.174,0.493,0.313,22-60,0.268,82
Chucky Atkins,MEM,2007, PG,3000000,32,180.34,83.91452,75,13.2,1.9,4.6,-3,0.01,0.068,0.213,0.58,0.276,22-60,0.268,82
Brian Cardinal,MEM,2007, PF,5400000,30,203.2,111.13004,28,4.5,2.1,1.1,-5.1,0.046,0.185,0.176,0.655,0.169,22-60,0.268,82
Mike Miller,MEM,2007, SG,7623813,27,203.2,98.883056,70,18.5,5.4,4.3,-5.9,0.023,0.141,0.212,0.588,0.189,22-60,0.268,82
Pau Gasol,MEM,2007, PF,12364000,26,213.36,117.93392,59,20.8,9.8,3.4,-5.4,0.084,0.233,0.25,0.593,0.166,22-60,0.268,82
Tarence Kinsey,MEM,2007, SG,412718,23,198.12,85.728888,48,7.7,2,0.9,-6.4,0.036,0.083,0.181,0.532,0.068,22-60,0.268,82
Stromile Swift,MEM,2007, PF,5400000,27,205.74,104.32616,54,7.8,4.6,0.3,-10.7,0.098,0.186,0.208,0.517,0.029,22-60,0.268,82
Rudy Gay,MEM,2007, SF,2242920,20,205.74,99.79024,78,10.8,4.5,1.3,-2.5,0.052,0.143,0.209,0.497,0.078,22-60,0.268,82
Scott Padgett,MEM,2007, PF,744551,31,205.74,108.86208,31,1.5,1.7,0.3,2.7,0.082,0.19,0.146,0.373,0.058,22-60,0.268,82
Hakim Warrick,MEM,2007, PF,1286280,24,205.74,99.336648,82,12.7,5.1,0.9,-9,0.072,0.163,0.221,0.592,0.064,22-60,0.268,82
Alexander Johnson,MEM,2007, SF,412718,24,205.74,108.86208,59,4.4,3.1,0.3,-1.9,0.086,0.216,0.161,0.588,0.033,22-60,0.268,82
Junior Harrington,MEM,2007, PG,302200,26,193.04,86.18248,29,5.2,2.3,3.1,-2.5,0.028,0.124,0.173,0.483,0.246,22-60,0.268,82
Lawrence Roberts,MEM,2007, PF,664209,24,205.74,108.86208,54,5.2,4.8,0.6,-2.8,0.118,0.204,0.139,0.533,0.048,22-60,0.268,82
Kyle Lowry,MEM,2007, PG,1011720,21,182.88,79.3786,10,5.6,3.1,3.2,18,0.079,0.143,0.161,0.556,0.269,22-60,0.268,82
Cuttino Mobley,LAC,2007, SG,8125000,31,193.04,97.52228,78,13.8,3.4,2.5,-0.4,0.022,0.09,0.184,0.546,0.117,40-42,0.488,82
Corey Maggette,LAC,2007, SF,7000000,27,198.12,102.0582,75,16.9,5.9,2.8,1.7,0.049,0.184,0.258,0.583,0.16,40-42,0.488,82
Daniel Ewing,LAC,2007, PG,664209,24,190.5,83.91452,61,2.9,1.2,1.5,4.3,0.016,0.105,0.156,0.495,0.215,40-42,0.488,82
Chris Kaman,LAC,2007, C,3491767,25,213.36,120.20188,75,10.1,7.8,1.1,-3.9,0.091,0.238,0.196,0.502,0.061,40-42,0.488,82
Quinton Ross,LAC,2007, SF,771331,26,198.12,87.543256,81,5.2,2.3,1.1,-1.2,0.042,0.089,0.122,0.508,0.079,40-42,0.488,82
Paul Davis,LAC,2007, C,412718,22,210.82,122.46984,31,1.6,1.4,0.2,-3.7,0.116,0.146,0.161,0.452,0.08,40-42,0.488,82
Tim Thomas,LAC,2007, PF,5215000,30,208.28,108.86208,76,11,5,2.3,4.1,0.038,0.176,0.202,0.532,0.142,40-42,0.488,82
Shaun Livingston,LAC,2007, G,3841920,21,200.66,82.553744,54,9.3,3.4,5.1,-3.9,0.043,0.094,0.174,0.503,0.283,40-42,0.488,82
Sam Cassell,LAC,2007, PG,6850000,37,190.5,83.91452,58,12.3,2.9,4.7,1.1,0.022,0.114,0.257,0.506,0.34,40-42,0.488,82
Elton Brand,LAC,2007, PF,14248000,28,203.2,115.212368,80,20.5,9.3,2.9,0,0.104,0.185,0.239,0.581,0.142,40-42,0.488,82
Doug Christie,LAC,2007, SG,8125000,37,198.12,92.98636,7,1.9,1.6,1.1,-18.6,0.041,0.119,0.134,0.355,0.182,40-42,0.488,82
Von Wafer,LAC,2007, SG,23443,21,195.58,95.25432,1,0,0,0,26.6,0,0,0.275,0,0,40-42,0.488,82
Aaron Williams,LAC,2007, C,1750000,35,205.74,106.59412,38,2,2.2,0.2,-2.4,0.09,0.187,0.101,0.606,0.03,40-42,0.488,82
Yaroslav Korolev,LAC,2007, SF,1470000,20,205.74,92.079176,10,1.2,0.3,0.4,-24.4,0.02,0.083,0.218,0.322,0.19,40-42,0.488,82
Will Conroy,LAC,2007, PG,55839,24,187.96,88.45044,7,0,1,1.3,-10.8,0.065,0.085,0.061,0,0.3,40-42,0.488,82
James Singleton,LAC,2007, F,675000,25,203.2,104.32616,53,1.6,2,0.3,-0.2,0.106,0.219,0.135,0.449,0.075,40-42,0.488,82
Jason Hart,LAC,2007, PG,197087,29,190.5,83.91452,36,6.9,2.7,2.9,-2.5,0.02,0.124,0.154,0.509,0.195,40-42,0.488,82
Corliss Williamson,SAC,2007, PF,6500000,33,200.66,111.13004,68,9.1,3.3,0.6,3.7,0.057,0.137,0.226,0.559,0.054,33-49,0.402,82
Brad Miller,SAC,2007, C,9625000,31,213.36,118.387512,63,9,6.4,3.6,1.5,0.051,0.212,0.167,0.508,0.196,33-49,0.402,82
Quincy Douby,SAC,2007, SG,1240920,23,190.5,79.3786,42,2.8,0.9,0.4,-6.2,0.032,0.08,0.178,0.449,0.071,33-49,0.402,82
Mike Bibby,SAC,2007, PG,12500000,29,185.42,86.18248,82,17.1,3.2,4.7,-1.2,0.016,0.095,0.241,0.532,0.235,33-49,0.402,82
Metta World Peace,SAC,2007, SF,7526316,27,200.66,117.93392,70,18.8,6.5,3.4,0.8,0.045,0.163,0.235,0.538,0.153,33-49,0.402,82
Maurice Taylor,SAC,2007, PF,744551,30,205.74,120.20188,12,2,2.3,0.4,16.5,0.106,0.194,0.176,0.356,0.078,33-49,0.402,82
Vitaly Potapenko,SAC,2007, C,3674584,32,208.28,129.27372,3,0,0.7,0,-15.4,0,0.125,0.184,0,0,33-49,0.402,82
Ronnie Price,SAC,2007, PG,664209,24,187.96,86.18248,58,3.3,1.2,0.8,-3.3,0.033,0.124,0.184,0.489,0.14,33-49,0.402,82
Shareef Abdur-Rahim,SAC,2007, PF,5400000,30,205.74,111.13004,80,9.9,5,1.4,-4.6,0.07,0.17,0.196,0.524,0.092,33-49,0.402,82
Francisco Garcia,SAC,2007, SG,1092600,25,200.66,88.45044,79,6,2.6,1.1,-0.3,0.043,0.125,0.158,0.551,0.101,33-49,0.402,82
Kenny Thomas,SAC,2007, PF,7187500,29,200.66,111.13004,62,5.3,6.1,1.2,-5.8,0.108,0.216,0.136,0.492,0.085,33-49,0.402,82
Justin Williams,SAC,2007, PF,252486,23,208.28,104.32616,26,5,4.4,0.1,-7.6,0.171,0.229,0.174,0.566,0.01,33-49,0.402,82
Kevin Martin,SAC,2007, SG,1002840,24,200.66,83.91452,80,20.2,4.3,2.2,-3,0.028,0.119,0.23,0.614,0.108,33-49,0.402,82
John Salmons,SAC,2007, SF,4400000,27,198.12,93.893544,79,8.5,3.3,3.2,-3.5,0.026,0.121,0.155,0.553,0.196,33-49,0.402,82
Chuck Hayes,HOU,2007, PF,664209,24,198.12,107.954896,78,5.6,6.7,0.6,12.5,0.136,0.215,0.118,0.587,0.043,52-30,0.634,82
Bonzi Wells,HOU,2007, SG,2115000,30,195.58,95.25432,28,7.8,4.3,1.1,2.9,0.052,0.186,0.242,0.446,0.1,52-30,0.634,82
Rafer Alston,HOU,2007, PG,4200000,30,187.96,79.3786,82,13.3,3.4,5.4,8.9,0.011,0.094,0.193,0.496,0.232,52-30,0.634,82
Luther Head,HOU,2007, PG,1048800,24,190.5,83.91452,80,10.9,3.2,2.4,2.5,0.016,0.115,0.184,0.584,0.155,52-30,0.634,82
Steve Novak,HOU,2007, SF,600000,24,208.28,99.79024,35,1.5,0.7,0.2,-8.7,0.022,0.136,0.134,0.501,0.055,52-30,0.634,82
Vassilis Spanoulis,HOU,2007, PG,1800000,24,193.04,88.45044,31,2.7,0.7,0.9,-4.1,0.021,0.071,0.208,0.47,0.207,52-30,0.634,82
Tracy McGrady,HOU,2007, SG,16901500,28,203.2,101.151016,71,24.6,5.3,6.5,8.8,0.025,0.143,0.347,0.515,0.353,52-30,0.634,82
Shane Battier,HOU,2007, SF,5393300,28,203.2,99.79024,82,10.1,4.1,2.1,7.5,0.026,0.103,0.121,0.589,0.092,52-30,0.634,82
Dikembe Mutombo,HOU,2007, C,2210000,41,218.44,117.93392,75,3.1,6.5,0.2,5.8,0.143,0.282,0.084,0.601,0.016,52-30,0.634,82
Yao Ming,HOU,2007, C,12455000,26,228.6,140.61352,48,25,9.4,2,9.3,0.076,0.238,0.331,0.601,0.115,52-30,0.634,82
Juwan Howard,HOU,2007, PF,6392100,34,205.74,113.398,80,9.7,5.9,1.6,3,0.077,0.184,0.191,0.517,0.105,52-30,0.634,82
Kirk Snyder,HOU,2007, SG,1537440,24,198.12,102.0582,39,4.9,2.1,1,-1,0.035,0.137,0.175,0.536,0.125,52-30,0.634,82
Jake Tsakalidis,HOU,2007, C,2900000,28,218.44,131.54168,36,2.3,2.9,0.1,-1.5,0.122,0.192,0.137,0.471,0.022,52-30,0.634,82
John Lucas III,HOU,2007, PG,700000,24,180.34,74.84268,47,3.3,0.8,0.7,-1.5,0.026,0.089,0.223,0.468,0.167,52-30,0.634,82
Craig Smith,MIN,2007, PF,412718,23,200.66,123.377024,82,7.4,5.1,0.6,-4.8,0.119,0.211,0.187,0.558,0.056,32-50,0.39,82
Bracey Wright,MIN,2007, SG,664209,22,190.5,91.171992,19,3.5,1.1,0.8,11.8,0.043,0.099,0.172,0.493,0.114,32-50,0.39,82
Mike James,MIN,2007, PG,5215000,32,187.96,86.18248,82,10.1,2,3.6,-5.1,0.015,0.076,0.205,0.529,0.232,32-50,0.39,82
Randy Foye,MIN,2007, SG,2448240,23,193.04,96.615096,82,10.1,2.7,2.8,-5.1,0.031,0.108,0.228,0.536,0.216,32-50,0.39,82
Rashad McCants,MIN,2007, SG,1653720,22,193.04,102.511792,37,5,1.3,1,-0.3,0.03,0.073,0.204,0.454,0.111,32-50,0.39,82
Mark Blount,MIN,2007, C,7288165,31,213.36,113.398,82,12.3,6.2,0.8,-6,0.066,0.166,0.199,0.546,0.045,32-50,0.39,82
Mark Madsen,MIN,2007, PF,2210000,31,205.74,113.398,56,1.1,1.6,0.2,0.4,0.096,0.129,0.076,0.547,0.031,32-50,0.39,82
Marko Jaric,MIN,2007, PG,5525000,28,200.66,101.604608,70,5.3,2.6,2.1,-5.7,0.043,0.1,0.134,0.51,0.147,32-50,0.39,82
Troy Hudson,MIN,2007, PG,5603000,31,185.42,80.739376,34,5.9,1.4,2.1,-6.9,0.018,0.088,0.209,0.483,0.227,32-50,0.39,82
Trenton Hassell,MIN,2007, SF,4350000,28,195.58,105.686936,76,6.7,3.2,2.7,-4,0.046,0.082,0.119,0.529,0.138,32-50,0.39,82
Ricky Davis,MIN,2007, SG,6364400,27,200.66,102.511792,81,17,3.9,4.8,-3.9,0.022,0.098,0.219,0.566,0.215,32-50,0.39,82
Eddie Griffin,MIN,2007, PF,2700000,25,205.74,100.697424,13,1.4,1.9,0.3,-42.8,0.08,0.228,0.168,0.308,0.083,32-50,0.39,82
Justin Reed,MIN,2007, SF,1529873,25,203.2,108.86208,41,2.6,1.1,0.4,-13.1,0.053,0.117,0.194,0.441,0.085,32-50,0.39,82
Kevin Garnett,MIN,2007, PF,21000000,31,210.82,114.758776,76,22.4,12.8,4.1,-0.5,0.077,0.308,0.276,0.546,0.19,32-50,0.39,82
Delonte West,BOS,2007, SG,1080480,23,193.04,81.64656,69,12.2,3,4.4,-6.1,0.017,0.097,0.193,0.526,0.237,24-58,0.293,82
Brian Scalabrine,BOS,2007, PF,2793103,29,205.74,106.59412,54,4,1.9,1.1,-3.8,0.029,0.096,0.11,0.537,0.092,24-58,0.293,82
Rajon Rondo,BOS,2007, PG,1143600,21,185.42,77.564232,78,6.4,3.7,3.8,-0.3,0.047,0.147,0.164,0.472,0.26,24-58,0.293,82
Paul Pierce,BOS,2007, SF,15101626,29,198.12,104.32616,47,25,5.9,4.1,-0.3,0.026,0.16,0.305,0.571,0.209,24-58,0.293,82
Michael Olowokandi,BOS,2007, C,744551,32,213.36,122.46984,24,1.7,2,0.2,-8.2,0.067,0.184,0.124,0.423,0.038,24-58,0.293,82
Theo Ratliff,BOS,2007, C,11666666,34,208.28,106.59412,2,2.5,3.5,0,-24.5,0.057,0.135,0.058,0.525,0,24-58,0.293,82
Tony Allen,BOS,2007, SG,1037280,25,193.04,96.615096,33,11.5,3.8,1.7,-1.7,0.054,0.132,0.22,0.596,0.12,24-58,0.293,82
Sebastian Telfair,BOS,2007, PG,1793160,22,182.88,72.57472,78,6.1,1.4,2.8,-4.2,0.013,0.07,0.175,0.458,0.223,24-58,0.293,82
Ryan Gomes,BOS,2007, SF,664209,24,200.66,113.398,73,12.1,5.6,1.6,-8,0.064,0.154,0.188,0.534,0.092,24-58,0.293,82
Gerald Green,BOS,2007, SG,1347000,21,203.2,90.7184,81,10.4,2.6,1,-8.2,0.043,0.101,0.234,0.521,0.089,24-58,0.293,82
Al Jefferson,BOS,2007, C,1618320,22,208.28,116.119552,69,16,11,1.3,-4.2,0.123,0.267,0.228,0.547,0.071,24-58,0.293,82
Allan Ray,BOS,2007, G,412718,23,187.96,86.18248,47,6.2,1.5,0.9,-3.2,0.028,0.096,0.202,0.512,0.105,24-58,0.293,82
Kendrick Perkins,BOS,2007, C,1689410,22,208.28,127.00576,72,4.5,5.2,1.3,-4,0.083,0.195,0.124,0.518,0.095,24-58,0.293,82
Leon Powe,BOS,2007, PF,432000,23,203.2,108.86208,63,4.2,3.4,0.2,-3.6,0.152,0.22,0.178,0.549,0.026,24-58,0.293,82
Wally Szczerbiak,BOS,2007, SG,11775000,30,200.66,110.676448,32,15,3.1,1.7,-3.4,0.021,0.111,0.249,0.54,0.107,24-58,0.293,82
David West,NOK,2007, F,2051938,26,205.74,108.86208,52,18.3,8.2,2.2,-0.6,0.076,0.189,0.235,0.532,0.103,39-43,0.476,82
Chris Paul,NOK,2007, PG,3380160,22,182.88,79.3786,64,17.3,4.4,8.9,-1.6,0.026,0.117,0.227,0.537,0.397,39-43,0.476,82
Brandon Bass,NOK,2007, PF,664209,22,203.2,108.86208,21,2,2,0.1,-9.6,0.085,0.25,0.17,0.411,0.03,39-43,0.476,82
Bobby Jackson,NOK,2007, PG,5250000,34,185.42,83.91452,56,10.6,3.2,2.5,1.3,0.036,0.116,0.23,0.5,0.179,39-43,0.476,82
Cedric Simmons,NOK,2007, SF,1515480,21,205.74,106.59412,43,2.9,2.5,0.3,-9.2,0.091,0.133,0.144,0.43,0.037,39-43,0.476,82
Peja Stojakovic,NOK,2007, SF,10800000,30,208.28,103.872568,13,17.8,4.2,0.8,-0.4,0.027,0.123,0.242,0.543,0.045,39-43,0.476,82
Marc Jackson,NOK,2007, PF,4875000,32,208.28,114.758776,56,7.3,3.4,1,-8.6,0.07,0.154,0.227,0.471,0.099,39-43,0.476,82
Tyson Chandler,NOK,2007, C,9150000,24,215.9,106.59412,73,9.5,12.4,0.9,-0.9,0.142,0.273,0.122,0.62,0.04,39-43,0.476,82
Rasual Butler,NOK,2007, SF,3000000,28,200.66,92.98636,81,10.1,3.2,0.8,-3,0.021,0.112,0.186,0.495,0.048,39-43,0.476,82
Hilton Armstrong,NOK,2007, PF,1767600,22,210.82,106.59412,56,3.1,2.7,0.2,-1.1,0.106,0.166,0.141,0.57,0.027,39-43,0.476,82
Devin Brown,NOK,2007, SG,516806,28,195.58,99.79024,58,11.6,4.3,2.6,-0.8,0.038,0.138,0.196,0.538,0.143,39-43,0.476,82
Desmond Mason,NOK,2007, SF,8037036,29,195.58,100.697424,75,13.7,4.6,1.5,-2.7,0.054,0.102,0.217,0.493,0.076,39-43,0.476,82
Linton Johnson,NOK,2007, PF,771331,27,203.2,92.98636,54,4.2,3,0.3,1.7,0.083,0.184,0.149,0.548,0.041,39-43,0.476,82
Jannero Pargo,NOK,2007, PG,1000000,27,185.42,79.3786,82,9.2,2.2,2.5,-3.2,0.013,0.108,0.237,0.504,0.218,39-43,0.476,82
David Lee,NYK,2007, PF,926040,24,205.74,112.944408,58,10.7,10.4,1.8,2.6,0.136,0.266,0.145,0.652,0.095,33-49,0.402,82
Channing Frye,NYK,2007, F,2325000,24,210.82,112.490816,72,9.5,5.5,0.9,-5,0.058,0.189,0.202,0.464,0.063,33-49,0.402,82
Nate Robinson,NYK,2007, PG,1185480,23,175.26,81.64656,64,10.1,2.4,1.4,-2.8,0.048,0.086,0.216,0.552,0.119,33-49,0.402,82
Randolph Morris,NYK,2007, C,750000,21,210.82,117.93392,5,0.8,1.8,0.2,-11.8,0.023,0.276,0.107,0.231,0.037,33-49,0.402,82
Quentin Richardson,NYK,2007, SF,7525500,27,198.12,104.32616,49,13,7.2,2.2,-2.6,0.049,0.203,0.189,0.532,0.113,33-49,0.402,82
Mardy Collins,NYK,2007, PG,899880,22,198.12,99.79024,52,4.5,2,1.6,-6.1,0.043,0.12,0.188,0.445,0.188,33-49,0.402,82
Malik Rose,NYK,2007, PF,7525397,32,200.66,115.66596,65,3,2.7,1,-7.3,0.069,0.189,0.155,0.46,0.135,33-49,0.402,82
Steve Francis,NYK,2007, PG,15070000,30,190.5,95.25432,44,11.3,3.6,3.9,-0.9,0.032,0.121,0.197,0.57,0.223,33-49,0.402,82
