Name,Team,Season,Pos,Salary,Age,Height (cm),Weight (kg),GP,PTS,REB,AST,+/-,ORB%,DRB%,USG%,TS%,AST%,W-L,W-L%,TG
Metta World Peace,CHI,2000, SF,1079000,20,198.12,110.676448,72,12,4.3,2.7,-8.6,0.031,0.129,0.215,0.491,0.171,17-65,0.207,82
Elton Brand,CHI,2000, PF,3375000,21,203.2,117.93392,81,20.1,10,1.9,-12.8,0.131,0.184,0.269,0.528,0.118,17-65,0.207,82
Matt Harpring,ORL,2000, SF,1163000,24,200.66,104.779752,4,4,3,2,0.3,0.081,0.117,0.131,0.398,0.178,41-41,0.5,82
Pat Garrity,ORL,2000, PF,952000,23,205.74,107.954896,82,8.2,2.6,0.7,-1.7,0.033,0.129,0.205,0.532,0.063,41-41,0.5,82
Derek Strong,ORL,2000, F,3159000,32,205.74,108.86208,20,2.7,2.2,0.2,-8.3,0.076,0.236,0.177,0.499,0.04,41-41,0.5,82
Corey Maggette,ORL,2000, SF,1259000,20,198.12,98.883056,77,8.4,3.9,0.8,-1.6,0.101,0.144,0.224,0.553,0.071,41-41,0.5,82
Jumaine Jones,PHI,2000, SF,684000,21,203.2,98.883056,33,1.7,1.2,0.2,1.2,0.109,0.152,0.246,0.432,0.074,49-33,0.598,82
Matt Geiger,PHI,2000, C,6889000,30,215.9,112.490816,65,9.7,6,0.6,-2,0.12,0.192,0.233,0.483,0.048,49-33,0.598,82
Theo Ratliff,PHI,2000, C,7031000,27,208.28,102.0582,57,11.9,7.6,0.6,3.3,0.088,0.179,0.175,0.568,0.032,49-33,0.598,82
Tyrone Hill,PHI,2000, PF,6422000,32,205.74,113.398,68,12,9.2,0.8,1.5,0.111,0.213,0.183,0.529,0.039,49-33,0.598,82
Eric Snow,PHI,2000, PG,3000000,27,190.5,92.532768,82,7.9,3.2,7.6,1,0.016,0.086,0.129,0.482,0.327,49-33,0.598,82
George Lynch,PHI,2000, SF,2000000,29,203.2,103.418976,75,9.6,7.8,1.8,2.6,0.097,0.169,0.154,0.498,0.089,49-33,0.598,82
Allen Iverson,PHI,2000, SG,9000000,25,182.88,74.84268,70,28.4,3.8,4.7,1.2,0.027,0.078,0.339,0.496,0.22,49-33,0.598,82
Juwan Howard,WAS,2000, PF,15000000,27,205.74,113.398,82,14.9,5.7,3,-4.3,0.052,0.137,0.222,0.496,0.143,29-53,0.354,82
Tracy Murray,WAS,2000, SF,2720000,28,200.66,103.418976,80,10.1,3.4,0.9,-3.5,0.039,0.134,0.197,0.555,0.067,29-53,0.354,82
Richard Hamilton,WAS,2000, SG,1836000,22,198.12,83.91452,71,9,1.8,1.5,-3.9,0.031,0.079,0.243,0.482,0.131,29-53,0.354,82
