,player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,position,salary
39,Theo Ratliff,PHI,27.0,208.28,102.0582,57,11.9,7.6,0.6,3.3,0.088,0.179,0.175,0.568,0.032,2000, C,7031000
40,Terry Porter,SAS,37.0,190.5,92.98636,68,9.4,2.8,3.3,13.0,0.018,0.111,0.183,0.596,0.2269999999999999,2000, G,2000000
41,Terrell Brandon,MIN,30.0,180.34,78.471416,71,17.1,3.4,8.9,6.9,0.02,0.088,0.2289999999999999,0.535,0.375,2000, PG,7400000
42,Steve Nash,DAL,26.0,190.5,88.45044,56,8.6,2.2,4.9,3.9,0.025,0.062,0.148,0.601,0.252,2000, PG,5500000
43,Steve Kerr,SAS,34.0,190.5,81.64656,32,2.8,0.6,0.4,0.8,0.012,0.062,0.144,0.564,0.078,2000, G,1968000
44,Steve Francis,HOU,23.0,190.5,87.543256,77,18.0,5.3,6.6,-3.7,0.062,0.102,0.249,0.5429999999999999,0.315,2000, PG,3020000
45,Stephon Marbury,NJN,23.0,187.96,81.64656,74,22.2,3.2,8.4,0.0,0.022,0.071,0.2769999999999999,0.528,0.38,2000, PG,9000000
46,Wesley Person,CLE,29.0,198.12,88.45044,79,9.2,3.4,1.8,-2.1,0.023,0.124,0.158,0.528,0.114,2000, SF,4900000
47,Walter McCarty,BOS,26.0,208.28,104.32616,61,3.8,1.8,1.1,-4.6,0.042,0.103,0.161,0.451,0.122,2000, PF,2500000
48,Walt Williams,HOU,30.0,203.2,104.32616,76,10.9,4.0,2.1,1.6,0.042,0.141,0.201,0.562,0.138,2000, F,3750000
49,Wally Szczerbiak,MIN,23.0,200.66,110.222856,73,11.6,3.7,2.8,5.0,0.048,0.1,0.171,0.5710000000000001,0.136,2000, SG,2011000
50,Vonteego Cummings,GSW,24.0,190.5,86.18248,75,9.4,2.5,3.3,-7.6,0.032,0.0819999999999999,0.204,0.484,0.2319999999999999,2000, PG,2600000
51,Vlade Divac,SAC,32.0,215.9,117.93392,82,12.3,8.0,3.0,2.5,0.075,0.205,0.19,0.552,0.148,2000, C,8837000
52,Vitaly Potapenko,BOS,25.0,208.28,127.00576,79,9.2,6.3,1.0,-0.4,0.109,0.207,0.2019999999999999,0.527,0.068,2000, C,3810000
53,Vinny Del Negro,MIL,33.0,193.04,90.7184,67,5.2,1.6,2.4,-6.8,0.009,0.096,0.146,0.51,0.206,2000, G,1925000
54,Vince Carter,TOR,23.0,200.66,97.52228,82,25.7,5.8,3.9,3.6,0.052,0.12,0.299,0.5429999999999999,0.195,2000, G,2267000
55,Vin Baker,SEA,28.0,210.82,113.398,79,16.6,7.7,1.9,0.4,0.087,0.148,0.238,0.5,0.086,2000, PF,9000000
56,Tyrone Nesby,LAC,24.0,198.12,102.0582,73,13.3,3.8,1.7,-13.3,0.037,0.098,0.212,0.487,0.094,2000, F,2716000
57,Tyrone Hill,PHI,32.0,205.74,113.398,68,12.0,9.2,0.8,1.5,0.111,0.213,0.183,0.529,0.039,2000, PF,6422000
58,Travis Knight,LAL,25.0,213.36,106.59412,63,1.7,2.0,0.4,3.7,0.124,0.22,0.1669999999999999,0.418,0.092,2000, C,2800000
59,Travis Best,IND,27.0,180.34,82.553744,82,8.9,1.7,3.3,8.6,0.011,0.084,0.207,0.569,0.285,2000, PG,3250000
60,Trajan Langdon,CLE,24.0,190.5,88.45044,10,4.9,1.5,1.1,18.8,0.031,0.079,0.147,0.546,0.104,2000, SG,1394000
61,Tracy Murray,WAS,28.0,200.66,103.418976,80,10.1,3.4,0.9,-3.5,0.039,0.134,0.1969999999999999,0.555,0.067,2000, SF,2720000
62,Shawn Marion,PHX,22.0,200.66,97.52228,51,10.2,6.5,1.4,5.5,0.094,0.195,0.1939999999999999,0.511,0.089,2000, SG,1546000
63,Shawn Kemp,CLE,30.0,208.28,127.00576,82,17.8,8.8,1.7,-2.3,0.1009999999999999,0.2239999999999999,0.298,0.508,0.098,2000, C,10780000
64,Robert Horry,LAL,29.0,208.28,106.59412,76,5.7,4.8,1.6,12.3,0.088,0.143,0.126,0.528,0.103,2000, PF,4800000
65,Ricky Davis,CHH,20.0,200.66,89.357624,48,4.7,1.7,1.3,-6.7,0.0579999999999999,0.104,0.193,0.542,0.176,2000, SG,878000
66,Rick Fox,LAL,30.0,200.66,109.769264,82,6.5,2.4,1.7,8.3,0.046,0.098,0.183,0.502,0.144,2000, SF,3033000
67,Richard Hamilton,WAS,22.0,198.12,83.91452,71,9.0,1.8,1.5,-3.9,0.031,0.079,0.243,0.482,0.131,2000, SG,1836000
68,Ray Allen,MIL,24.0,195.58,92.98636,82,22.1,4.4,3.8,1.7,0.032,0.104,0.254,0.57,0.166,2000, SG,9000000
69,Rasho Nesterovic,MIN,24.0,213.36,112.490816,82,5.7,4.6,1.1,5.0,0.089,0.1639999999999999,0.145,0.492,0.075,2000, C,1050000
70,Rasheed Wallace,POR,25.0,210.82,102.0582,81,16.4,7.0,1.8,9.5,0.057,0.172,0.2189999999999999,0.556,0.085,2000, PF,10800000
71,Rafer Alston,MIL,23.0,187.96,77.56423199999999,27,2.2,0.9,2.6,-14.5,0.016,0.065,0.159,0.31,0.321,2000, PG,301000
